,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,Wind_MPS_sd30,Wind_MPS_sd60,Wind_MPS_sd90,Wind_MPS_sd300,Wind_MPS_sd600,Wind_MPS_sd900,Wind_dir_sd30,Wind_dir_sd60,Wind_dir_sd90,Wind_dir_sd300,Wind_dir_sd600,Wind_dir_sd900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900
8,1677,,4,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,445,2494,,,966,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,,PRISMA/LARS,1,,PRISMA,LARS,UT 1 sigma,,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,134751.2221,AZ,8.348,7.8375,7.839888889,7.064633333,6.918116667,6.918116667,19.36666667,22.71666667,23.18888889,27.84,47.34666667,40.79555556,0.389326563,0.867553789,0.825543736,1.182840609,1.075932931,1.075932931,4.072475595,5.323728993,4.644422641,48.07652484,100.9871964,88.75228542,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2336.479121,2201.902043,2473.196102,2348.693067,2227.185368,2488.123177,2296.948898,2177.558853,2434.950064,2353.561566,2214.081605,2494.980828,2416.986053,2224.687694,2615.97569,2506.321486,2211.27812,2778.235358
9,1701,,27,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,3.8,359,191,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,134751.2221,AZ,8.348,7.8375,7.839888889,7.064633333,6.918116667,6.918116667,19.36666667,22.71666667,23.18888889,27.84,47.34666667,40.79555556,0.389326563,0.867553789,0.825543736,1.182840609,1.075932931,1.075932931,4.072475595,5.323728993,4.644422641,48.07652484,100.9871964,88.75228542,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2336.539896,2201.412588,2470.105149,2341.663322,2214.505162,2479.033615,2290.258095,2153.94469,2439.179685,2352.729305,2211.283543,2496.122474,2400.72917,2215.47462,2613.523913,2515.412055,2225.954187,2835.72904
10,1729,,4,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,445,3778,,,1614,6.943938356,,,,,2021-10-16 18:36:26+00:00,,,PRISMA/LARS,2,,PRISMA,LARS,UT 1 sigma,,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,134751.2221,AZ,8.348,7.8375,7.839888889,7.064633333,6.918116667,6.918116667,19.36666667,22.71666667,23.18888889,27.84,47.34666667,40.79555556,0.389326563,0.867553789,0.825543736,1.182840609,1.075932931,1.075932931,4.072475595,5.323728993,4.644422641,48.07652484,100.9871964,88.75228542,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2335.645058,2197.562472,2473.78878,2343.814175,2221.498611,2486.75551,2295.063451,2167.476157,2433.101613,2352.252965,2215.592724,2505.239044,2413.201831,2231.580765,2604.563545,2519.782566,2215.825848,2810.307214
11,1753,,27,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,703,3379,4328,2430,1-sigma confidence interval,6.18,15.1,191,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,2,,PRISMA,Kayrros,+/- 1 sigma,,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,134751.2221,AZ,8.348,7.8375,7.839888889,7.064633333,6.918116667,6.918116667,19.36666667,22.71666667,23.18888889,27.84,47.34666667,40.79555556,0.389326563,0.867553789,0.825543736,1.182840609,1.075932931,1.075932931,4.072475595,5.323728993,4.644422641,48.07652484,100.9871964,88.75228542,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2336.057536,2201.64254,2470.842743,2350.327526,2221.761579,2504.98694,2290.836324,2164.329803,2431.514542,2357.814148,2197.032295,2493.564287,2408.704994,2193.772774,2610.648204,2527.225912,2281.748453,2838.807254
12,1678,,5,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,,PRISMA/LARS,1,,PRISMA,LARS,UT 1 sigma,,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,237138.2289,AZ,3.081333333,3.664,3.743777778,4.048066667,3.937133333,3.937133333,35.33333333,38.86666667,41.91111111,34.9,36.96,38.57555556,0.529754226,0.711027426,0.638125023,0.765305541,0.74244539,0.74244539,5.026367258,5.247975127,7.688667342,9.497227196,9.834272802,9.600696479,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4497.650287,4250.023255,4749.441531,4498.058757,4270.788021,4775.176317,4509.64927,4259.884692,4748.559194,4478.604527,4252.160341,4726.845647,4329.109375,4084.567353,4587.276279,4266.911707,4044.321001,4482.871999
13,1702,,28,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1228,3561,4401,2721,1-sigma confidence interval,2.2,6,191,,,2021-10-21 18:23:12+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,237138.2289,AZ,3.081333333,3.664,3.743777778,4.048066667,3.937133333,3.937133333,35.33333333,38.86666667,41.91111111,34.9,36.96,38.57555556,0.529754226,0.711027426,0.638125023,0.765305541,0.74244539,0.74244539,5.026367258,5.247975127,7.688667342,9.497227196,9.834272802,9.600696479,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4495.541542,4247.836823,4746.336936,4491.3512,4239.431785,4755.087418,4512.260983,4288.737792,4750.972817,4477.601932,4248.557224,4728.693255,4321.598253,4088.502371,4528.769503,4264.549094,4036.926649,4475.540206
14,1730,,5,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,6469,,,2434,3.935766667,,,,,2021-10-21 18:23:12+00:00,,,PRISMA/LARS,2,,PRISMA,LARS,UT 1 sigma,,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,237138.2289,AZ,3.081333333,3.664,3.743777778,4.048066667,3.937133333,3.937133333,35.33333333,38.86666667,41.91111111,34.9,36.96,38.57555556,0.529754226,0.711027426,0.638125023,0.765305541,0.74244539,0.74244539,5.026367258,5.247975127,7.688667342,9.497227196,9.834272802,9.600696479,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4493.650839,4251.062173,4748.16992,4488.899308,4244.478673,4767.73582,4499.840496,4258.15883,4767.109573,4472.244371,4228.329697,4732.062232,4323.908211,4083.24091,4573.812099,4272.268395,4054.746454,4482.920831
15,1754,,28,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1228,4781,5727,3835,1-sigma confidence interval,3.89,42.9,191,,,2021-10-21 18:23:12+00:00,,,PRISMA/Kayrros,2,,PRISMA,Kayrros,+/- 1 sigma,,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,237138.2289,AZ,3.081333333,3.664,3.743777778,4.048066667,3.937133333,3.937133333,35.33333333,38.86666667,41.91111111,34.9,36.96,38.57555556,0.529754226,0.711027426,0.638125023,0.765305541,0.74244539,0.74244539,5.026367258,5.247975127,7.688667342,9.497227196,9.834272802,9.600696479,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4494.2166,4251.354408,4745.965906,4485.932117,4244.213497,4728.847996,4504.478678,4265.68855,4766.984779,4474.295477,4230.042217,4742.688708,4317.953957,4094.329644,4552.15687,4263.55873,4051.124136,4485.471173
16,1679,,6,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,7226,,,2890,5.155525006,183.9472,,,,2021-10-27 18:26:30+00:00,,,PRISMA/LARS,1,,PRISMA,LARS,UT 1 sigma,,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,182011.7511,AZ,3.937333333,4.453833333,4.421111111,4.088533333,3.746483333,3.746483333,59.9,64.06666667,63.93333333,51.00666667,45.85333333,52.35333333,0.680724428,0.718190031,0.632068913,0.796138159,0.902452307,0.902452307,6.019222083,6.390847976,6.227521375,17.1464269,17.31381247,17.63407688,2021-10-27 18:13:45+00:00,0,2011,2812.01,TRUE,12.75,TRUE,TP,1,3390.178454,3200.006298,3578.79198,3388.30272,3194.402871,3582.274573,3404.977397,3223.547729,3595.383956,3438.203997,3249.426429,3626.910071,3471.032808,3269.229351,3670.566032,3271.04195,3094.435944,3468.891495
17,1703,,29,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,422,5479,6821,4137,1-sigma confidence interval,3.8,350,191,,,2021-10-27 18:26:30+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,182011.7511,AZ,3.937333333,4.453833333,4.421111111,4.088533333,3.746483333,3.746483333,59.9,64.06666667,63.93333333,51.00666667,45.85333333,52.35333333,0.680724428,0.718190031,0.632068913,0.796138159,0.902452307,0.902452307,6.019222083,6.390847976,6.227521375,17.1464269,17.31381247,17.63407688,2021-10-27 18:13:45+00:00,0,2011,2812.01,TRUE,12.75,TRUE,TP,1,3391.033018,3199.091268,3583.390244,3396.285392,3216.940693,3586.779527,3402.566213,3218.225202,3601.748859,3437.124732,3249.605828,3641.024615,3468.905871,3281.948955,3663.667453,3281.319334,3100.403799,3459.52219
