plume_id,emission_source_id,wind_independent_emission_rate_kghmps,wind_mps
1,710,195.6503153,2.87334919
2,710,324.3538894,2.87334919
3,710,368.6038769,2.768518686
4,711,77.26727607,2.574738741
5,878,25.08914405,3.364265203
8,878,24.26454016,3.364265203
9,712,13.06270988,3.25462985
10,712,24.40424498,3.25462985
12,708,11.59747746,2.681394815
13,713,16.1196536,3.31712985
14,713,12.123816,3.31712985
15,713,10.0627891,3.31712985
16,713,13.5270262,3.31712985
17,879,9.298309352,3.736950397
18,717,7.468176542,1.965277791
19,717,11.00838887,1.965277791
28,716,16.91118115,5.824172497
29,718,222.4879729,6.73886919
30,718,9.380736461,6.73886919
31,704,172.4262123,6.12070322
32,704,48.43184513,6.12070322
33,704,35.77623388,6.12070322
36,715,27.32465271,7.597555161
37,715,31.60300437,7.597555161
38,715,28.82908844,7.597555161
40,963,21.88799945,6.08135128
41,963,7.84842613,6.08135128
43,698,99.47938547,5.003264427
45,718,23.08499269,3.595855951
46,721,307.9599697,3.491689444
49,720,157.5933329,4.843327999
50,720,85.44260529,4.843327999
51,703,1562.873757,5.662773609
54,725,32.11993785,6.322495461
55,703,1603.75455,5.662773609
56,719,14.85048222,4.718327522
57,703,692.6350365,5.662773609
59,726,79.07544565,5.391841888
61,702,58.70768586,4.917304516
62,724,172.1296772,5.072397232
63,722,188.137248,5.470545292
64,726,67.80598705,5.391841888
67,726,60.24853182,5.391841888
69,722,194.5046448,5.470545292
70,977,57.46759762,4.917304516
71,951,13.71841839,4.917304516
72,722,12.03800591,5.470545292
73,962,158.1165798,5.470545292
76,723,32.61646834,6.08135128
78,723,15.12224612,6.08135128
79,723,17.23215579,6.08135128
81,970,9.367308535,6.08135128
86,727,12.2608542,6.12070322
90,714,18.11361447,6.10449934
91,714,13.94367554,6.10449934
95,967,11.26653108,6.10449934
102,684,33.23136186,6.157740116
103,684,9.594305593,6.833776474
109,698,25.80853059,7.597555161
110,698,18.15054393,7.067462444
112,732,26.02887293,6.12070322
114,965,35.49490294,7.597555161
117,728,27.77457487,6.461413383
119,728,13.31756978,6.461413383
120,729,22.04160105,6.461413383
121,729,13.98089748,6.461413383
124,730,19.27650199,4.435524464
129,731,3.330683859,2.130563974
130,731,13.87249378,2.130563974
131,1084,63.37813507,5.169745922
132,1084,113.341069,5.169745922
133,1084,110.1029197,5.169745922
140,733,27.34577785,2.557339668
144,695,52.71029112,5.169745922
145,695,36.18581325,5.169745922
151,696,10.59879588,3.136913538
152,696,19.79223291,3.136913538
153,958,38.01881652,3.136913538
154,958,54.30292352,3.136913538
155,956,11.32921739,3.201728344
157,734,53.07017787,4.077152729
158,734,10.29524733,5.052257061
159,971,40.06289747,4.72123909
160,972,18.16486678,4.72123909
161,973,16.1246813,3.757708311
162,735,8.261325879,5.052257061
163,736,16.33813421,4.630960941
164,737,73.90279994,6.332532883
165,699,20.7600836,6.332532883
167,940,126.6769392,6.267718315
168,881,21.24671963,6.404292583
172,974,24.28111498,12.61979294
173,738,148.7019377,12.61979294
174,738,182.3647369,12.61979294
179,671,18.80971284,11.49890614
180,671,12.37826221,11.49890614
181,740,27.95224619,13.06765938
182,741,26.06761043,12.79108906
183,742,19.55867915,13.06765938
185,743,13.35934554,12.66025257
187,705,21.64039965,13.06765938
191,749,51.16008267,12.60358906
197,745,11.97796635,10.87159061
200,744,117.710965,12.37442207
208,747,13.31486729,3.148927212
209,667,22.17713795,3.135038376
210,667,19.28826988,3.135038376
211,748,61.13342687,3.174390078
212,748,27.29582892,3.174390078
213,746,15.04475711,3.223001242
214,697,37.82786708,3.223001242
215,1003,126.7590408,3.711850405
218,1005,63.03532997,3.711850405
220,1007,55.50876374,3.670183897
221,1007,50.31241636,3.670183897
222,750,63.39949501,3.670183897
223,975,45.26664549,3.670183897
224,1040,13.20398147,4.337999344
225,751,90.14446189,4.451425552
227,751,84.18514937,4.451425552
228,751,76.72372503,4.451425552
442,764,13.96991809,6.103366375
443,658,62.94754229,7.600091457
444,658,111.1079826,7.537591457
445,691,55.08138661,8.204257965
446,691,18.05510694,8.204257965
447,691,19.17030693,8.204257965
448,765,16.90730537,8.204257965
449,766,15.8461932,10.63567924
450,706,256.2254588,10.7745676
451,767,35.63730888,7.565369129
452,767,29.99193942,9.479514122
454,669,488.3074296,8.176480293
457,659,41.02412443,8.236665726
458,763,11.07188072,8.799165726
459,763,12.12792246,8.799165726
465,636,157.1607087,8.799165726
466,636,87.60711469,8.799165726
469,637,14.45187254,12.61397743
470,637,23.22150892,12.61397743
471,637,23.08802067,12.66701508
472,770,45.13261448,7.530646801
473,770,42.56999267,9.417014122
474,770,56.40195174,9.417014122
475,942,34.6222855,7.600091457
476,769,36.91726507,7.600091457
477,769,18.75204595,9.41932869
481,772,21.7510108,9.565161705
482,772,29.86881339,9.484143257
483,772,74.18060351,9.484143257
485,773,13.05579055,7.757498741
486,773,15.19626953,9.484143257
488,638,14.5056019,7.757498741
489,638,30.83799252,9.484143257
490,955,34.7997908,9.479514122
492,774,53.58440748,9.479514122
494,775,12.530967,9.417014122
495,960,32.96657398,9.565161705
496,776,35.89380003,12.23414421
502,777,75.82496782,9.484143257
503,692,13.51731281,10.03275394
504,943,16.15473778,7.600091457
505,944,46.24795996,7.600091457
506,662,39.17241127,7.600091457
507,662,27.22075645,7.600091457
508,662,50.5033056,7.600091457
509,952,21.7383877,4.398184776
510,959,14.5671713,4.349573612
511,778,21.69036685,4.349573612
513,779,19.11382261,4.349573612
514,780,17.01956342,4.349573612
515,976,13.45269557,4.349573612
519,952,21.4525105,4.398184776
524,783,91.34992971,11.11018085
525,1000,37.51818022,11.26295853
526,784,123.9227092,10.51006985
528,785,41.845607,9.697570801
530,785,57.90325289,9.697570801
531,785,28.06754354,9.697570801
532,786,59.29810476,10.51238441
534,786,145.4338162,10.51238441
535,787,10.78437993,10.44525528
536,1002,104.1224887,10.51238441
537,788,126.9437139,10.51238441
559,789,17.61231279,10.49457455
596,1001,74.54422538,11.26295853
597,643,40.76955298,10.99820042
598,643,57.08381476,10.99820042
599,792,24.482056,11.24125576
600,792,22.30680494,11.24125576
601,793,33.89447045,11.23199654
602,793,59.17598012,13.22752666
603,793,26.79369132,13.22752666
605,666,34.01658025,12.73678589
606,666,16.35737851,12.73678589
607,666,26.7761288,12.73678589
609,794,14.57575131,12.73678589
610,794,34.39822787,12.73678589
611,795,39.28336262,12.73678589
612,795,24.58084582,12.73678589
619,796,29.96519667,13.41825008
620,796,18.12270881,13.41825008
626,948,27.55483913,12.74695396
628,798,21.43176938,12.74695396
629,798,11.93041672,12.74695396
631,640,42.83462829,12.74695396
632,640,39.43994734,12.74695396
633,640,56.87895825,12.74695396
634,937,12.10648331,12.74695396
637,797,46.85445774,12.74695396
638,797,46.83767166,12.74695396
639,797,57.31499507,12.74695396
640,949,28.88364537,12.74695396
641,949,24.82887811,12.74695396
642,949,32.37175758,12.74695396
644,799,29.99012064,13.92519474
645,799,32.83828348,13.92519474
646,800,45.61636548,13.41825008
647,800,29.47332683,13.41825008
648,801,14.79432157,12.51084232
649,801,12.45582678,12.50938702
656,802,9.850875337,9.249446869
657,803,10.81330604,9.020280838
659,1041,22.31705553,8.886021614
660,641,19.08186427,5.615912437
661,641,17.05882963,5.615912437
667,804,20.55692014,5.917124271
670,805,40.41064489,5.95784235
672,806,73.30822822,6.29349041
673,806,59.20038708,6.29349041
674,806,60.74047922,6.29349041
675,807,22.77098784,6.858304977
676,808,19.97908387,5.693953514
695,809,115.3163948,8.836117744
696,809,117.7882686,8.836117744
699,809,257.5229729,8.836117744
701,810,19.59453596,8.313300133
702,811,9.009781801,9.094047546
747,814,34.27730134,5.480626583
752,644,20.1813799,6.382143021
755,815,17.70657648,6.2015872
756,816,17.0704863,6.088161469
757,816,9.55414622,6.088161469
758,816,19.77996531,6.664343357
761,817,20.5121047,6.638880253
762,818,30.74159532,6.557861805
765,819,31.34685846,6.664343357
770,645,53.1171907,6.784713745
771,645,43.65097603,6.309366226
772,645,57.09998582,6.309366226
778,820,83.16703544,5.30555439
779,820,57.30039864,5.30555439
781,821,167.9836448,5.733795166
782,979,225.800008,5.497684002
783,822,50.73872558,5.497684002
784,822,38.35481873,5.497684002
785,981,40.65013754,5.291665554
786,803,25.561242,5.830219269
787,824,14.52198179,5.837163925
788,824,22.61041791,5.837163925
790,825,45.51620609,4.599805355
791,825,34.23574749,4.599805355
792,825,39.29865934,4.599805355
793,794,19.86101223,5.062720299
794,794,29.67534267,5.062720299
