,Stanford_timestamp,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UnblindingStage,PipeSize_inch,MeterCode,PlumeEstablished,PlumeSteady,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,Operator_Timestamp
321,2021-08-03 17:10:10+00:00,747.8788883620737,703.6215029649554,796.8505587118716,175.53298610000002,259.4555043,91.61046792,1,4.0,218645.0,True,True,738.2478361840738,693.9653218517734,786.0926058626412,738.7679905212029,695.5506872122861,786.8706631513381,2021-08-03 17:10:29+00:00
322,2021-08-03 17:10:10+00:00,747.3521303207439,703.7171855510826,796.0600631668212,277.22538810000003,356.2025751,198.2482011,2,4.0,218645.0,True,True,737.8429501731146,694.3439767135766,784.603945780832,738.5857861126902,694.3860513335974,785.9957715445053,2021-08-03 17:10:29+00:00
323,2021-08-03 17:10:10+00:00,746.8160987127596,702.2544714934827,794.3975060114225,345.6703891,422.8749776000001,268.4658006,3,4.0,218645.0,True,True,738.0731226939063,693.7970989326586,785.8608539761813,738.5474533865693,695.1998201435347,784.704205265313,2021-08-03 17:10:29+00:00
324,2021-08-03 17:12:02+00:00,732.4449540662797,688.5301566826744,779.7210775744192,251.8330114,372.7527149,130.9133079,1,4.0,218645.0,True,True,729.7165073897409,686.549687249466,775.5439425551045,731.4404191484448,688.1914084493285,778.882655060728,2021-08-03 17:12:22+00:00
325,2021-08-03 17:12:02+00:00,732.5893600053014,688.8884196402981,780.2405195215559,181.37741609999998,269.2498654,93.50496683,2,4.0,218645.0,True,True,729.6558218008225,686.1933701816683,776.6497319329624,731.5912585684051,688.2242338783584,778.4499435236007,2021-08-03 17:12:22+00:00
326,2021-08-03 17:12:02+00:00,732.4469796831272,689.2842929532258,779.3781578297304,154.316454,223.58162990000002,85.05127813,3,4.0,218645.0,True,True,729.6513709055317,686.5303944053043,776.3671256272083,731.4102231044521,687.597301758006,778.4177598418435,2021-08-03 17:12:22+00:00
327,2021-08-03 17:13:56+00:00,726.97301065677,684.3322651596538,774.0152236722699,188.93411310000002,281.9081819,95.96004427,1,4.0,218645.0,True,True,726.9889885281658,683.0828853354512,774.2114820645091,727.2502339873447,684.8021633815516,774.1208963115688,2021-08-03 17:14:15+00:00
328,2021-08-03 17:13:56+00:00,726.1149795399028,683.1782040600675,772.602910469585,236.23892859999998,301.7360492,170.74180800000002,2,4.0,218645.0,True,True,727.3343264901332,683.9271885621808,773.831887497567,726.920297518941,684.2005593847963,774.425977883479,2021-08-03 17:14:15+00:00
329,2021-08-03 17:13:56+00:00,726.6005069433489,682.7967932264534,773.7811184342431,218.8177023,257.96872609999997,179.6666785,3,4.0,218645.0,True,True,727.0257677840559,683.7279741712446,774.8914773678041,726.9033305198956,683.2575505953248,774.7897431742605,2021-08-03 17:14:15+00:00
330,2021-08-03 17:15:54+00:00,721.5078788192109,678.4447211606742,767.39993990598,257.1642869,386.835311,127.4932628,1,4.0,218645.0,True,True,718.7565447788797,676.4339074738541,764.8716865379131,720.5885809306989,677.8840842113631,766.6344887655762,2021-08-03 17:16:18+00:00
