timestamp,channel 1,channel 2,channel 3,channel 4
11/03/2021 16:26:56,-17.3,-214.8,,
11/03/2021 16:26:57,-17.7,-213.8,,
11/03/2021 16:26:58,-17.4,-214,,
11/03/2021 16:26:59,-17.2,-214.9,,
11/03/2021 16:27:00,-17.1,-213.6,,
11/03/2021 16:27:01,-17.8,-214.5,,
11/03/2021 16:27:02,-17.7,-213.8,,
11/03/2021 16:27:03,-17.6,-213.8,,
11/03/2021 16:27:04,-17.6,-213.2,,
11/03/2021 16:27:05,-17.1,-213.1,,
11/03/2021 16:27:06,-17.1,-211.4,,
11/03/2021 16:27:07,-17.4,-209.8,,
11/03/2021 16:27:08,-17.1,-211.4,,
11/03/2021 16:27:09,-17.5,-211.5,,
11/03/2021 16:27:10,-17.2,-212.8,,
11/03/2021 16:27:11,-18,-211.6,,
11/03/2021 16:27:12,-17.7,-211.8,,
11/03/2021 16:27:13,-17.6,-213.2,,
11/03/2021 16:27:14,-16.9,-214.3,,
11/03/2021 16:27:15,-16.5,-212.7,,
11/03/2021 16:27:16,-17.2,-212,,
11/03/2021 16:27:17,-17.5,-212.7,,
11/03/2021 16:27:18,-17.6,-211.3,,
11/03/2021 16:27:19,-17,-211,,
11/03/2021 16:27:20,-17.3,-211.9,,
11/03/2021 16:27:21,-17.4,-212.1,,
11/03/2021 16:27:22,-17.2,-210.1,,
11/03/2021 16:27:23,-16.6,-209.4,,
11/03/2021 16:27:24,-16.9,-209.3,,
11/03/2021 16:27:25,-16.9,-210.3,,
11/03/2021 16:27:26,-16.9,-209.7,,
11/03/2021 16:27:27,-16.7,-209.8,,
11/03/2021 16:27:28,-16.7,-210.1,,
11/03/2021 16:27:29,-17,-210.1,,
11/03/2021 16:27:30,-16.6,-210.5,,
11/03/2021 16:27:31,-16.1,-210.7,,
11/03/2021 16:27:32,-15.8,-211.1,,
11/03/2021 16:27:33,-15.7,-210.8,,
11/03/2021 16:27:34,-15.6,-210.9,,
11/03/2021 16:27:35,-17.2,-211.6,,
11/03/2021 16:27:36,-16.4,-211.9,,
11/03/2021 16:27:37,-16.7,-211.5,,
11/03/2021 16:27:38,-17.8,-211.7,,
11/03/2021 16:27:39,-17.1,-210.2,,
11/03/2021 16:27:40,-16.4,-211.3,,
11/03/2021 16:27:41,-16.2,-211.5,,
11/03/2021 16:27:42,-16.4,-210.9,,
11/03/2021 16:27:43,-16,-210,,
11/03/2021 16:27:44,-16,-210.5,,
11/03/2021 16:27:45,-16.8,-211.3,,
11/03/2021 16:27:46,-17.3,-210.8,,
11/03/2021 16:27:47,-17.4,-210.4,,
11/03/2021 16:27:48,-17.6,-209.9,,
11/03/2021 16:27:49,-17.1,-209.8,,
11/03/2021 16:27:50,-16.5,-210.8,,
11/03/2021 16:27:51,-16,-211.5,,
