time,release_scfh
30/07/2021 15:21:24,0
30/07/2021 15:21:34,0
30/07/2021 15:21:44,0
30/07/2021 15:21:54,0
30/07/2021 15:22:04,0
30/07/2021 15:22:14,0
30/07/2021 15:22:24,0
30/07/2021 15:22:34,0
30/07/2021 15:22:44,0
30/07/2021 15:22:54,0
30/07/2021 15:23:04,0
30/07/2021 15:23:14,0
30/07/2021 15:23:24,0
30/07/2021 15:23:34,0
30/07/2021 15:23:44,0
30/07/2021 15:23:54,0
30/07/2021 15:24:04,0
30/07/2021 15:24:14,0
30/07/2021 15:24:24,0
30/07/2021 15:24:34,0
30/07/2021 15:24:44,0
30/07/2021 15:24:54,0
30/07/2021 15:25:04,0
30/07/2021 15:25:14,0
30/07/2021 15:25:24,0
30/07/2021 15:25:34,0
30/07/2021 15:25:44,0
30/07/2021 15:25:54,0
30/07/2021 15:26:04,0
30/07/2021 15:26:14,0
30/07/2021 15:26:24,0
30/07/2021 15:26:34,0
30/07/2021 15:26:44,0
30/07/2021 15:26:54,0
30/07/2021 15:27:04,0
30/07/2021 15:27:14,0
30/07/2021 15:27:24,2875
30/07/2021 15:27:34,1939.7
30/07/2021 15:27:44,2520.4
30/07/2021 15:27:54,2033.2
30/07/2021 15:28:04,3512.1
30/07/2021 15:28:14,3535.5
30/07/2021 15:28:24,3572.8
30/07/2021 15:28:34,3621.7
30/07/2021 15:28:44,3635.4
30/07/2021 15:28:54,3704.1
30/07/2021 15:29:04,3693.7
30/07/2021 15:29:14,3709.2
30/07/2021 15:29:24,3793.9
30/07/2021 15:29:34,3623.2
30/07/2021 15:29:44,3893.6
30/07/2021 15:29:54,3699.6
30/07/2021 15:30:04,3932.9
30/07/2021 15:30:14,3952
30/07/2021 15:30:24,3989.4
30/07/2021 15:30:34,4000.4
30/07/2021 15:30:44,4053.5
30/07/2021 15:30:54,4090
30/07/2021 15:31:04,4126.6
30/07/2021 15:31:14,4133
30/07/2021 15:31:24,4132.2
30/07/2021 15:31:34,4153
30/07/2021 15:31:44,4154.9
30/07/2021 15:31:54,4189.4
30/07/2021 15:32:04,4198.8
30/07/2021 15:32:14,4211.3
30/07/2021 15:32:24,4209.6
30/07/2021 15:32:34,4216.9
30/07/2021 15:32:44,4206
30/07/2021 15:32:54,4294.2
30/07/2021 15:33:04,4256.3
30/07/2021 15:33:14,4283.8
30/07/2021 15:33:24,4262.7
30/07/2021 15:33:34,4433.1
30/07/2021 15:33:44,4432.8
30/07/2021 15:33:54,4435.3
30/07/2021 15:34:04,4452.8
30/07/2021 15:34:14,4405.8
30/07/2021 15:34:24,4438.6
30/07/2021 15:34:34,4462.8
30/07/2021 15:34:44,4433.5
30/07/2021 15:34:54,4443.3
30/07/2021 15:35:04,4402.3
30/07/2021 15:35:14,6563.8
30/07/2021 15:35:24,12833.6
30/07/2021 15:35:34,21745.8
30/07/2021 15:35:44,22236.1
30/07/2021 15:35:54,22338.3
30/07/2021 15:36:04,22246.4
30/07/2021 15:36:14,22236.9
30/07/2021 15:36:24,22233.1
30/07/2021 15:36:34,22372.3
30/07/2021 15:36:44,22417.9
30/07/2021 15:36:54,22312.5
30/07/2021 15:37:04,22386.2
30/07/2021 15:37:14,22144.1
30/07/2021 15:37:24,22155.7
30/07/2021 15:37:34,22217.1
30/07/2021 15:37:44,22278.5
30/07/2021 15:37:54,22252.9
30/07/2021 15:38:04,22253.7
30/07/2021 15:38:14,22307.2
30/07/2021 15:38:24,22236.2
30/07/2021 15:38:34,22295.8
30/07/2021 15:38:44,22221.8
30/07/2021 15:38:54,22112.5
30/07/2021 15:39:04,22220.2
30/07/2021 15:39:14,22242.2
30/07/2021 15:39:24,22138.7
30/07/2021 15:39:34,22077.8
30/07/2021 15:39:44,22121.1
30/07/2021 15:39:54,22090.5
30/07/2021 15:40:04,22070.5
30/07/2021 15:40:14,22185.1
30/07/2021 15:40:24,22185.8
30/07/2021 15:40:34,22198.8
30/07/2021 15:40:44,22214.8
