time,release_scfh
08/03/2021 16:15:35,45027.38
08/03/2021 16:15:45,45003.64
08/03/2021 16:15:55,44719.25
08/03/2021 16:16:05,44838.02
08/03/2021 16:16:15,44881.23
08/03/2021 16:16:25,44908.22
08/03/2021 16:16:35,44834.13
08/03/2021 16:16:45,45173.79
08/03/2021 16:16:55,45031.84
08/03/2021 16:17:05,44854.2
08/03/2021 16:17:15,45026.02
08/03/2021 16:17:25,44820.57
08/03/2021 16:17:35,44659.16
08/03/2021 16:17:45,44553.8
08/03/2021 16:17:55,44664.5
08/03/2021 16:18:05,44575.25
08/03/2021 16:18:15,44632.05
08/03/2021 16:18:25,44584.57
08/03/2021 16:18:35,43493.88
08/03/2021 16:18:45,42482.08
08/03/2021 16:18:55,42260.45
08/03/2021 16:19:05,42267.07
08/03/2021 16:19:15,42171.04
08/03/2021 16:19:25,40166.52
08/03/2021 16:19:35,40080.96
08/03/2021 16:19:45,39976.01
08/03/2021 16:19:55,39877.2
08/03/2021 16:20:05,39772.15
08/03/2021 16:20:15,39866.58
08/03/2021 16:20:25,39974.49
08/03/2021 16:20:35,39919.56
08/03/2021 16:20:45,39843.6
08/03/2021 16:20:55,39789.28
08/03/2021 16:21:05,39737.39
08/03/2021 16:21:15,35872.31
08/03/2021 16:21:25,35892.66
08/03/2021 16:21:35,35916.86
08/03/2021 16:21:45,35729.63
08/03/2021 16:21:55,35565.62
08/03/2021 16:22:05,35762.3
08/03/2021 16:22:15,35752.38
08/03/2021 16:22:25,35632.44
08/03/2021 16:22:35,35839.59
08/03/2021 16:22:45,35793.31
08/03/2021 16:22:55,35702.26
08/03/2021 16:23:05,35583.78
08/03/2021 16:23:15,35672.25
08/03/2021 16:23:25,35514.61
08/03/2021 16:23:35,35389.18
08/03/2021 16:23:45,35282.23
08/03/2021 16:23:55,35449.79
08/03/2021 16:24:05,35385.36
08/03/2021 16:24:15,35351.05
08/03/2021 16:24:25,35330.22
08/03/2021 16:24:35,35518.06
08/03/2021 16:24:45,35259.38
08/03/2021 16:24:55,35318.79
08/03/2021 16:25:05,35301.25
08/03/2021 16:25:15,35235.7
08/03/2021 16:25:25,35485.61
08/03/2021 16:25:35,35236.22
08/03/2021 16:25:45,35210.44
08/03/2021 16:25:55,35303.53
08/03/2021 16:26:05,35263.13
08/03/2021 16:26:15,35278.39
08/03/2021 16:26:25,35173.29
08/03/2021 16:26:35,35283.54
08/03/2021 16:26:45,35272.43
08/03/2021 16:26:55,35277.76
08/03/2021 16:27:05,35137.13
08/03/2021 16:27:15,35125.52
08/03/2021 16:27:25,35138.21
08/03/2021 16:27:35,35019.07
08/03/2021 16:27:45,34986.94
08/03/2021 16:27:55,35213.49
08/03/2021 16:28:05,35010.99
08/03/2021 16:28:15,35057.39
08/03/2021 16:28:25,34947.46
08/03/2021 16:28:35,34901.32
08/03/2021 16:28:45,34882
08/03/2021 16:28:55,34771.49
08/03/2021 16:29:05,34813.29
08/03/2021 16:29:15,34776.56
08/03/2021 16:29:25,34608.95
08/03/2021 16:29:35,34574.32
08/03/2021 16:29:45,34600.98
08/03/2021 16:29:55,34769.13
08/03/2021 16:30:05,34784.93
08/03/2021 16:30:15,34536.46
08/03/2021 16:30:25,34689.52
08/03/2021 16:30:35,34657.08
08/03/2021 16:30:45,34702.55
08/03/2021 16:30:55,30523.44
08/03/2021 16:31:05,23926.22
08/03/2021 16:31:15,16914.73
08/03/2021 16:31:25,16619.37
08/03/2021 16:31:35,19283.28
08/03/2021 16:31:45,19405.95
08/03/2021 16:31:55,19572.32
08/03/2021 16:32:05,19540.13
08/03/2021 16:32:15,19457.28
08/03/2021 16:32:25,19398.62
08/03/2021 16:32:35,19296.34
08/03/2021 16:32:45,19286.78
08/03/2021 16:32:55,19431.19
08/03/2021 16:33:05,19462.92
08/03/2021 16:33:15,19578.87
08/03/2021 16:33:25,19531.58
08/03/2021 16:33:35,19421.48
08/03/2021 16:33:45,19586.35
08/03/2021 16:33:55,19489.84
08/03/2021 16:34:05,19235.93
08/03/2021 16:34:15,19232.57
08/03/2021 16:34:25,19247.82
08/03/2021 16:34:35,19180.66
08/03/2021 16:34:45,19232.96
08/03/2021 16:34:55,19050.32
08/03/2021 16:35:05,19162.31
08/03/2021 16:35:15,19121.76
08/03/2021 16:35:25,19063.25
08/03/2021 16:35:35,19133.54
08/03/2021 16:35:45,19055.38
08/03/2021 16:35:55,18944.66
08/03/2021 16:36:05,18907.56
08/03/2021 16:36:15,19017.96
08/03/2021 16:36:25,18861.72
08/03/2021 16:36:35,18882.06
08/03/2021 16:36:45,18926.71
08/03/2021 16:36:55,18821.89
08/03/2021 16:37:05,18902.38
08/03/2021 16:37:15,18911.88
08/03/2021 16:37:25,18841.04
08/03/2021 16:37:35,18956.38
08/03/2021 16:37:45,19963.25
08/03/2021 16:37:55,18979.81
08/03/2021 16:38:05,18936.62
08/03/2021 16:38:15,19011.04
08/03/2021 16:38:25,18938.94
08/03/2021 16:38:35,18967.99
08/03/2021 16:38:45,19005.03
08/03/2021 16:38:55,19030.82
08/03/2021 16:39:05,19235.74
08/03/2021 16:39:15,19133.7
08/03/2021 16:39:25,19044.81
08/03/2021 16:39:35,18797.82
08/03/2021 16:39:45,19060.57
08/03/2021 16:39:55,19092.78
08/03/2021 16:40:05,18859
08/03/2021 16:40:15,18987.63
08/03/2021 16:40:25,18927.26
08/03/2021 16:40:35,18893.41
08/03/2021 16:40:45,18965.64
08/03/2021 16:40:55,18957
08/03/2021 16:41:05,18815.22
08/03/2021 16:41:15,18935.77
08/03/2021 16:41:25,18836.7
08/03/2021 16:41:35,18855.81
08/03/2021 16:41:45,18731.24
08/03/2021 16:41:55,18827.13
08/03/2021 16:42:05,18897.22
08/03/2021 16:42:15,18954.59
08/03/2021 16:42:25,18976.24
08/03/2021 16:42:35,18815.2
08/03/2021 16:42:45,18746.27
08/03/2021 16:42:55,18831.62
08/03/2021 16:43:05,18825.17
08/03/2021 16:43:15,18876.95
08/03/2021 16:43:25,18772.2
08/03/2021 16:43:35,18920.76
08/03/2021 16:43:45,18765.46
08/03/2021 16:43:55,18855.52
08/03/2021 16:44:05,18789.48
08/03/2021 16:44:15,18759.4
08/03/2021 16:44:25,18737.78
08/03/2021 16:44:35,18712.73
08/03/2021 16:44:45,18769.4
08/03/2021 16:44:55,18773.22
08/03/2021 16:45:05,18676.44
08/03/2021 16:45:15,18767.63
08/03/2021 16:45:25,18820.52
08/03/2021 16:45:35,18858.83
08/03/2021 16:45:45,18712.74
08/03/2021 16:45:55,18702.54
08/03/2021 16:46:05,18676.58
08/03/2021 16:46:15,18609.25
08/03/2021 16:46:25,18683.53
08/03/2021 16:46:35,18597.19
08/03/2021 16:46:45,18578.63
08/03/2021 16:46:55,18539.5
08/03/2021 16:47:05,18520.64
08/03/2021 16:47:15,18395.2
08/03/2021 16:47:25,18247.28
08/03/2021 16:47:35,18537.46
08/03/2021 16:47:45,18412.77
08/03/2021 16:47:55,18382.62
08/03/2021 16:48:05,18541.29
08/03/2021 16:48:15,18293
08/03/2021 16:48:25,18273.24
08/03/2021 16:48:35,18462.68
08/03/2021 16:48:45,18437.35
08/03/2021 16:48:55,18425.43
08/03/2021 16:49:05,18449.21
08/03/2021 16:49:15,18607.92
08/03/2021 16:49:25,4419.83
08/03/2021 16:49:35,0
08/03/2021 16:49:45,331.83
08/03/2021 16:49:55,31910.9
08/03/2021 16:50:05,34597.05
08/03/2021 16:50:15,42506.16
08/03/2021 16:50:25,48384.67
08/03/2021 16:50:35,51121.86
08/03/2021 16:50:45,55915.88
08/03/2021 16:50:55,56049.81
08/03/2021 16:51:05,55980.36
08/03/2021 16:51:15,56337.61
08/03/2021 16:51:25,56372.45
08/03/2021 16:51:35,56267.8
08/03/2021 16:51:45,56463.33
08/03/2021 16:51:55,56785
08/03/2021 16:52:05,56497.49
08/03/2021 16:52:15,56394.01
08/03/2021 16:52:25,56485.09
08/03/2021 16:52:35,56666.18
08/03/2021 16:52:45,56761.4
08/03/2021 16:52:55,56872.31
08/03/2021 16:53:05,56819.54
08/03/2021 16:53:15,57266.97
08/03/2021 16:53:25,57108.93
08/03/2021 16:53:35,57353.88
08/03/2021 16:53:45,57281.88
08/03/2021 16:53:55,57377.48
08/03/2021 16:54:05,57613.68
08/03/2021 16:54:15,57131.5
08/03/2021 16:54:25,55835.25
08/03/2021 16:54:35,51185.52
08/03/2021 16:54:45,51040.95
08/03/2021 16:54:55,50176.85
08/03/2021 16:55:05,46516.63
08/03/2021 16:55:15,46397.11
08/03/2021 16:55:25,46691.33
08/03/2021 16:55:35,46531.62
08/03/2021 16:55:45,46563.34
08/03/2021 16:55:55,46303.05
08/03/2021 16:56:05,46346.61
08/03/2021 16:56:15,46397.61
08/03/2021 16:56:25,46244.43
08/03/2021 16:56:35,46222.95
08/03/2021 16:56:45,46410.09
08/03/2021 16:56:55,46118.43
08/03/2021 16:57:05,46229.3
08/03/2021 16:57:15,46307.83
08/03/2021 16:57:25,46193.1
08/03/2021 16:57:35,46264.68
08/03/2021 16:57:45,46094.4
08/03/2021 16:57:55,46065.34
08/03/2021 16:58:05,42069.93
08/03/2021 16:58:15,41935.38
08/03/2021 16:58:25,41881.59
08/03/2021 16:58:35,41977.1
08/03/2021 16:58:45,41791.04
08/03/2021 16:58:55,41579.55
08/03/2021 16:59:05,41553.46
08/03/2021 16:59:15,41569.19
08/03/2021 16:59:25,41458.65
08/03/2021 16:59:35,41581.79
08/03/2021 16:59:45,41547.12
08/03/2021 16:59:55,41513.3
08/03/2021 17:00:05,41592.89
08/03/2021 17:00:15,41553.67
08/03/2021 17:00:25,41417.14
08/03/2021 17:00:35,41314.42
08/03/2021 17:00:45,41491.61
08/03/2021 17:00:55,41453.59
08/03/2021 17:01:05,41123.78
08/03/2021 17:01:15,41464.33
08/03/2021 17:01:25,41369.8
08/03/2021 17:01:35,41243.27
08/03/2021 17:01:45,41245.91
08/03/2021 17:01:55,41223.3
08/03/2021 17:02:05,41367.98
08/03/2021 17:02:15,41257.47
08/03/2021 17:02:25,41075.99
08/03/2021 17:02:35,41805.85
08/03/2021 17:02:45,41141.45
08/03/2021 17:02:55,41232.95
08/03/2021 17:03:05,40963.3
08/03/2021 17:03:15,40861.81
08/03/2021 17:03:25,40915.73
08/03/2021 17:03:35,40829.84
08/03/2021 17:03:45,40968.9
08/03/2021 17:03:55,40794.09
08/03/2021 17:04:05,40900.38
08/03/2021 17:04:15,40812.91
08/03/2021 17:04:25,40733.63
08/03/2021 17:04:35,40861.06
08/03/2021 17:04:45,40523.37
08/03/2021 17:04:55,40560.36
08/03/2021 17:05:05,40538
08/03/2021 17:05:15,40618.04
08/03/2021 17:05:25,40548.45
08/03/2021 17:05:35,40513.8
08/03/2021 17:05:45,40465.84
08/03/2021 17:05:55,40425.23
08/03/2021 17:06:05,40453.62
08/03/2021 17:06:15,40575.28
08/03/2021 17:06:25,40365.65
08/03/2021 17:06:35,40383
08/03/2021 17:06:45,40329.73
08/03/2021 17:06:55,43559.07
08/03/2021 17:07:05,46859.74
08/03/2021 17:07:15,49881.8
08/03/2021 17:07:25,53015.12
08/03/2021 17:07:35,55555.13
08/03/2021 17:07:45,54454.43
08/03/2021 17:07:55,52731.58
08/03/2021 17:08:05,52556.45
08/03/2021 17:08:15,52316.21
08/03/2021 17:08:25,52442.68
08/03/2021 17:08:35,50354.74
08/03/2021 17:08:45,49422.46
08/03/2021 17:08:55,48508.53
08/03/2021 17:09:05,45961.1
08/03/2021 17:09:15,45712.59
08/03/2021 17:09:25,45632.54
08/03/2021 17:09:35,45790.77
08/03/2021 17:09:45,45663.2
08/03/2021 17:09:55,45664.88
08/03/2021 17:10:05,45546.13
08/03/2021 17:10:15,45785.68
08/03/2021 17:10:25,45501.74
08/03/2021 17:10:35,45535.47
08/03/2021 17:10:45,45500.56
08/03/2021 17:10:55,45379.29
08/03/2021 17:11:05,45545.2
08/03/2021 17:11:15,45508.64
08/03/2021 17:11:25,45143.8
08/03/2021 17:11:35,45409.05
08/03/2021 17:11:45,45139.22
08/03/2021 17:11:55,45157.2
08/03/2021 17:12:05,44923.53
08/03/2021 17:12:15,45184.41
08/03/2021 17:12:25,45179.45
08/03/2021 17:12:35,45082.76
08/03/2021 17:12:45,44923.47
08/03/2021 17:12:55,44783.58
08/03/2021 17:13:05,45029.14
08/03/2021 17:13:15,44874.51
08/03/2021 17:13:25,45008.57
08/03/2021 17:13:35,44971.52
08/03/2021 17:13:45,44993.5
08/03/2021 17:13:55,44971.4
08/03/2021 17:14:05,44856.8
08/03/2021 17:14:15,44705.54
08/03/2021 17:14:25,44638.57
08/03/2021 17:14:35,44561.14
08/03/2021 17:14:45,44679.35
08/03/2021 17:14:55,44841.64
08/03/2021 17:15:05,44726.31
08/03/2021 17:15:15,44698.19
08/03/2021 17:15:25,44708.92
08/03/2021 17:15:35,44606.8
08/03/2021 17:15:45,44469.97
08/03/2021 17:15:55,44253.67
08/03/2021 17:16:05,44511.9
08/03/2021 17:16:15,44272.57
08/03/2021 17:16:25,44198.62
08/03/2021 17:16:35,44350.78
08/03/2021 17:16:45,44083.72
08/03/2021 17:16:55,43902.65
08/03/2021 17:17:05,43970.96
08/03/2021 17:17:15,43865.44
08/03/2021 17:17:25,43876.15
08/03/2021 17:17:35,43923.47
08/03/2021 17:17:45,43566.85
08/03/2021 17:17:55,43903.48
08/03/2021 17:18:05,43829.55
08/03/2021 17:18:15,43786.31
08/03/2021 17:18:25,43732.02
08/03/2021 17:18:35,43790.5
08/03/2021 17:18:45,43530.37
08/03/2021 17:18:55,43907.08
08/03/2021 17:19:05,43721.73
08/03/2021 17:19:15,43668.86
08/03/2021 17:19:25,43478.72
08/03/2021 17:19:35,43617.31
08/03/2021 17:19:45,43535.13
08/03/2021 17:19:55,43531.68
08/03/2021 17:20:05,43472.34
08/03/2021 17:20:15,43352.11
08/03/2021 17:20:25,43338.13
08/03/2021 17:20:35,43348.91
08/03/2021 17:20:45,43435.65
08/03/2021 17:20:55,43284.87
08/03/2021 17:21:05,43440.2
08/03/2021 17:21:15,43051.3
08/03/2021 17:21:25,43115.23
08/03/2021 17:21:35,43245.38
08/03/2021 17:21:45,43151.69
08/03/2021 17:21:55,42918.12
08/03/2021 17:22:05,43019.84
08/03/2021 17:22:15,43042.67
08/03/2021 17:22:25,42997.35
08/03/2021 17:22:35,42983.56
08/03/2021 17:22:45,42971.3
08/03/2021 17:22:55,42992.72
08/03/2021 17:23:05,42966.99
08/03/2021 17:23:15,42847.3
08/03/2021 17:23:25,42673.13
08/03/2021 17:23:35,42629.99
08/03/2021 17:23:45,42670.36
08/03/2021 17:23:55,42616.24
08/03/2021 17:24:05,42644.21
08/03/2021 17:24:15,42634.01
08/03/2021 17:24:25,42427.32
08/03/2021 17:24:35,42419.69
08/03/2021 17:24:45,42419.15
08/03/2021 17:24:55,42487.63
08/03/2021 17:25:05,42231.93
08/03/2021 17:25:15,42382.7
08/03/2021 17:25:25,42172.27
08/03/2021 17:25:35,42285.52
08/03/2021 17:25:45,42298.28
08/03/2021 17:25:55,42296.34
08/03/2021 17:26:05,42160.5
08/03/2021 17:26:15,42106.45
08/03/2021 17:26:25,42063.95
08/03/2021 17:26:35,42087.13
08/03/2021 17:26:45,41912.16
08/03/2021 17:26:55,42035.21
08/03/2021 17:27:05,41958.62
08/03/2021 17:27:15,41860.98
08/03/2021 17:27:25,41901.93
08/03/2021 17:27:35,41766.52
08/03/2021 17:27:45,41649.56
08/03/2021 17:27:55,41798.54
08/03/2021 17:28:05,41690.76
08/03/2021 17:28:15,41756.72
08/03/2021 17:28:25,41543.33
08/03/2021 17:28:35,41736.93
08/03/2021 17:28:45,41642.76
08/03/2021 17:28:55,41541.57
08/03/2021 17:29:05,41519.29
08/03/2021 17:29:15,41579.33
08/03/2021 17:29:25,41409.48
08/03/2021 17:29:35,41333
08/03/2021 17:29:45,41611.98
08/03/2021 17:29:55,41386.03
08/03/2021 17:30:05,41225.16
08/03/2021 17:30:15,41291.43
08/03/2021 17:30:25,41233.93
08/03/2021 17:30:35,41330.23
08/03/2021 17:30:45,41112.48
08/03/2021 17:30:55,41117.67
08/03/2021 17:31:05,41080.17
08/03/2021 17:31:15,41060.86
08/03/2021 17:31:25,40991.1
08/03/2021 17:31:35,40937.93
08/03/2021 17:31:45,41069.32
08/03/2021 17:31:55,41137.16
08/03/2021 17:32:05,41019.39
08/03/2021 17:32:15,40932.37
08/03/2021 17:32:25,0
08/03/2021 17:32:35,40956.8
08/03/2021 17:32:45,40694.47
08/03/2021 17:32:55,40892.35
08/03/2021 17:33:05,40819.18
08/03/2021 17:33:15,40784.18
08/03/2021 17:33:25,40775.36
08/03/2021 17:33:35,40609.06
08/03/2021 17:33:45,40631.64
08/03/2021 17:33:55,40758.31
08/03/2021 17:34:05,40732.86
08/03/2021 17:34:15,40436.36
08/03/2021 17:34:25,40557.84
08/03/2021 17:34:35,40390.52
08/03/2021 17:34:45,40511.08
08/03/2021 17:34:55,40465.93
08/03/2021 17:35:05,40453.94
08/03/2021 17:35:15,913.53
08/03/2021 17:35:25,0
08/03/2021 17:35:35,0
08/03/2021 17:35:45,0
08/03/2021 17:36:05,0
08/03/2021 17:36:15,0
08/03/2021 17:36:25,0
08/03/2021 17:36:35,0
08/03/2021 17:36:45,0
08/03/2021 17:36:55,0
08/03/2021 17:37:05,0
08/03/2021 17:37:15,0
08/03/2021 17:37:25,0
08/03/2021 17:37:35,0
08/03/2021 17:37:45,0
08/03/2021 17:37:55,0
08/03/2021 17:38:05,0
08/03/2021 17:38:15,0
08/03/2021 17:38:25,0
08/03/2021 17:38:35,0
08/03/2021 17:38:45,0
08/03/2021 17:38:55,0
08/03/2021 17:39:05,0
08/03/2021 17:39:15,0
08/03/2021 17:39:25,0
08/03/2021 17:39:35,0
08/03/2021 17:39:45,0
08/03/2021 17:39:55,0
08/03/2021 17:40:05,0
08/03/2021 17:40:15,0
08/03/2021 17:40:25,0
08/03/2021 17:40:35,0
08/03/2021 17:40:45,0
08/03/2021 17:40:55,0
08/03/2021 17:41:05,0
08/03/2021 17:41:15,0
08/03/2021 17:41:25,0
08/03/2021 17:41:35,0
08/03/2021 17:41:45,0
08/03/2021 17:41:55,0
08/03/2021 17:42:05,0
08/03/2021 17:42:15,6
08/03/2021 17:42:25,0
08/03/2021 17:42:35,0
08/03/2021 17:42:45,0
08/03/2021 17:42:55,21136.4
08/03/2021 17:43:05,21149.5
08/03/2021 17:43:15,21429.1
08/03/2021 17:43:25,21560
08/03/2021 17:43:35,21564
08/03/2021 17:43:45,21630.4
08/03/2021 17:43:55,21741
08/03/2021 17:44:05,21221.3
08/03/2021 17:44:15,21863.3
08/03/2021 17:44:25,21980.3
08/03/2021 17:44:35,22961.3
08/03/2021 17:44:45,22024.5
08/03/2021 17:44:55,22186.5
08/03/2021 17:45:05,22251.8
08/03/2021 17:45:15,22288.6
08/03/2021 17:45:25,22452.3
08/03/2021 17:45:35,22567
08/03/2021 17:45:45,22603
08/03/2021 17:45:55,22746.5
08/03/2021 17:46:05,22812
08/03/2021 17:46:15,22952
08/03/2021 17:46:25,22225.2
08/03/2021 17:46:35,22892.3
08/03/2021 17:46:45,22916.8
08/03/2021 17:46:55,22932.3
08/03/2021 17:47:05,23165.9
08/03/2021 17:47:15,23088.2
08/03/2021 17:47:25,23244.1
08/03/2021 17:47:35,23169
08/03/2021 17:47:45,23176.2
08/03/2021 17:47:55,23301.6
08/03/2021 17:48:05,23309.8
08/03/2021 17:48:15,23388.6
08/03/2021 17:48:25,23362.8
08/03/2021 17:48:35,23369.5
08/03/2021 17:48:45,23358.83
08/03/2021 17:48:55,23619.8
08/03/2021 17:49:05,23629.9
08/03/2021 17:49:15,23433.2
08/03/2021 17:49:25,23464
08/03/2021 17:49:35,23399.1
08/03/2021 17:49:45,23443.8
08/03/2021 17:49:55,23693.5
08/03/2021 17:50:05,23607.2
08/03/2021 17:50:15,23565.3
08/03/2021 17:50:25,23671
08/03/2021 17:50:35,23211
08/03/2021 17:50:45,23621
08/03/2021 17:50:55,23653.2
08/03/2021 17:51:05,23669
08/03/2021 17:51:15,23709.8
08/03/2021 17:51:25,23249.1
08/03/2021 17:51:35,23853.5
08/03/2021 17:51:45,23923.2
08/03/2021 17:51:55,23783.8
08/03/2021 17:52:05,24029.1
08/03/2021 17:52:15,24019
08/03/2021 17:52:25,23922.6
08/03/2021 17:52:35,23961.6
08/03/2021 17:52:45,23939
08/03/2021 17:52:55,23873.2
08/03/2021 17:53:05,23954.8
08/03/2021 17:53:15,23857
08/03/2021 17:53:25,23872.2
08/03/2021 17:53:35,23254
08/03/2021 17:53:45,23850
08/03/2021 17:53:55,23899
08/03/2021 17:54:05,23915
08/03/2021 17:54:15,23711.1
08/03/2021 17:54:25,23820.2
08/03/2021 17:54:35,23885.3
08/03/2021 17:54:45,23850.6
08/03/2021 17:54:55,23000
08/03/2021 17:55:05,23989
08/03/2021 17:55:15,23852.8
08/03/2021 17:55:25,23959.2
08/03/2021 17:55:35,23915
08/03/2021 17:55:45,23915
08/03/2021 17:55:55,23822
08/03/2021 17:56:05,23879.8
08/03/2021 17:56:15,23809
08/03/2021 17:56:25,23771.5
08/03/2021 17:56:35,23623.1
08/03/2021 17:56:45,23753.7
08/03/2021 17:56:55,23623.8
08/03/2021 17:57:05,23539.2
08/03/2021 17:57:15,23691.2
08/03/2021 17:57:25,23693
08/03/2021 17:57:35,23202
08/03/2021 17:57:45,23692.3
08/03/2021 17:57:55,23733.8
08/03/2021 17:58:05,23586.1
08/03/2021 17:58:15,23608
08/03/2021 17:58:25,23613.7
08/03/2021 17:58:35,23608.3
08/03/2021 17:58:45,23633
08/03/2021 17:58:55,23693.8
08/03/2021 17:59:05,23611.6
08/03/2021 17:59:15,23633.7
08/03/2021 17:59:25,16469.4
08/03/2021 17:59:35,5255.1
08/03/2021 17:59:45,9153.7
08/03/2021 17:59:55,9172.7
08/03/2021 18:00:05,9126
08/03/2021 18:00:15,9109
08/03/2021 18:00:25,9109
08/03/2021 18:00:35,9109
08/03/2021 18:00:45,9109
08/03/2021 18:00:55,9109
08/03/2021 18:01:05,9109
08/03/2021 18:01:15,9109
08/03/2021 18:01:25,9109
