,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation
2021-11-03 16:25:54+00:00,-15.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:55+00:00,-15.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:56+00:00,-15.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:57+00:00,-15.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:58+00:00,-15.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:59+00:00,-15.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:00+00:00,-14.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:01+00:00,-14.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:02+00:00,-15.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:03+00:00,-15.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:04+00:00,-15.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:05+00:00,-15.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:06+00:00,-15.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:07+00:00,-15.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:08+00:00,-15.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:09+00:00,-15.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:10+00:00,-14.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
