,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,Wind_MPS_sd30,Wind_MPS_sd60,Wind_MPS_sd90,Wind_MPS_sd300,Wind_MPS_sd600,Wind_MPS_sd900,Wind_dir_sd30,Wind_dir_sd60,Wind_dir_sd90,Wind_dir_sd300,Wind_dir_sd600,Wind_dir_sd900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900
10,1729,,4.0,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445,3778,,,1614,6.943938356,,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,2,,PRISMA,UPV,UT 1 sigma,,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,0.3893265626871802,0.8675537886904563,0.8255437356226117,1.1828406085520211,1.0759329312321235,1.0759329312321235,4.0724755949243585,5.323728993428859,4.644422641497256,48.07652484115947,100.98719644240906,88.7522854190204,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2337.212574592628,2201.8072355742784,2473.7776554272464,2343.828588833761,2217.6663524047617,2499.687153869091,2295.2206301663846,2162.1345502394342,2419.782083128544,2352.533573056802,2222.588060685478,2502.6715047104,2414.719995908411,2203.3234730724116,2607.9334201300185,2532.1010587877463,2272.7558161602506,2843.401345301635
11,1753,,27.0,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,3379,4328,2430,1-sigma confidence interval,6.18,15.1,191.0,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,2,,PRISMA,Kayrros,+/- 1 sigma,,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,0.3893265626871802,0.8675537886904563,0.8255437356226117,1.1828406085520211,1.0759329312321235,1.0759329312321235,4.0724755949243585,5.323728993428859,4.644422641497256,48.07652484115947,100.98719644240906,88.7522854190204,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2335.348324869581,2198.827517012478,2470.24421494687,2343.81502982117,2221.3882591354327,2484.43800989763,2293.380385126938,2165.1251817530447,2430.4795158217107,2350.0439547133333,2208.8637500151763,2487.335628383047,2407.1957214585887,2202.462998926613,2625.7371392467085,2519.472872036012,2252.233346856538,2803.049514377294
12,1678,,5.0,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,,PRISMA/UPV,1,,PRISMA,UPV,UT 1 sigma,,,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,0.5297542262500661,0.7110274256313832,0.6381250234617354,0.765305540808073,0.7424453902373648,0.7424453902373648,5.026367258377202,5.247975127404054,7.688667341817643,9.497227196119534,9.834272801579791,9.600696479081739,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4496.742339875479,4251.35669519478,4751.965042008258,4500.315757230702,4249.978017634109,4739.7354943713535,4504.124673221499,4266.684353239369,4764.405446394636,4473.248631041013,4242.434052538645,4739.390576047332,4312.718109539619,4085.548925127161,4569.98060293214,4267.437923974323,4048.634196787355,4526.715534351082
13,1702,,28.0,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,3561,4401,2721,1-sigma confidence interval,2.2,6,191,,,2021-10-21 18:23:12+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,0.5297542262500661,0.7110274256313832,0.6381250234617354,0.765305540808073,0.7424453902373648,0.7424453902373648,5.026367258377202,5.247975127404054,7.688667341817643,9.497227196119534,9.834272801579791,9.600696479081739,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4493.881168277361,4244.852656746661,4743.875977892972,4482.971018374446,4237.901476019673,4725.911667774333,4503.0274584803265,4251.000077597823,4755.273854861382,4476.724737329999,4246.563224627146,4686.779949061356,4321.652855846386,4085.4185357545057,4577.618334347862,4272.436475640669,4046.4871382637057,4522.001711661698
14,1730,,5.0,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,6469,,,2434,3.935766667,,,,,2021-10-21 18:23:12+00:00,,,PRISMA/UPV,2,,PRISMA,UPV,UT 1 sigma,,,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,0.5297542262500661,0.7110274256313832,0.6381250234617354,0.765305540808073,0.7424453902373648,0.7424453902373648,5.026367258377202,5.247975127404054,7.688667341817643,9.497227196119534,9.834272801579791,9.600696479081739,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4495.609690102104,4248.154019533071,4753.2755508411965,4492.192649392838,4237.246445048692,4763.927744725315,4506.586433553249,4282.768996625973,4753.1205219185995,4472.9563918870745,4258.18371704347,4745.571850675187,4322.269594749219,4084.836801923707,4572.754933826909,4266.011617440606,4044.866590536739,4484.4737553717605
15,1754,,28.0,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,4781,5727,3835,1-sigma confidence interval,3.89,42.9,191.0,,,2021-10-21 18:23:12+00:00,,,PRISMA/Kayrros,2,,PRISMA,Kayrros,+/- 1 sigma,,,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,0.5297542262500661,0.7110274256313832,0.6381250234617354,0.765305540808073,0.7424453902373648,0.7424453902373648,5.026367258377202,5.247975127404054,7.688667341817643,9.497227196119534,9.834272801579791,9.600696479081739,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4495.9839969342265,4248.604029356234,4745.693687314241,4489.585124407933,4255.130607908509,4758.953904392112,4494.345165664142,4268.076323979651,4767.872953442242,4465.52780312741,4236.842910970805,4749.7757158263585,4321.7206907123145,4059.08308465137,4560.031332958235,4275.757794272535,4044.8057022682983,4504.838604036038
16,1679,,6.0,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,7226,,,2890,5.155525006,183.9472,,,,2021-10-27 18:26:30+00:00,,,PRISMA/UPV,1,,PRISMA,UPV,UT 1 sigma,,,188145.0,8.0,218645.0,188145.0,False,,187899.5999999997,188305.3000000003,188790.54444444456,190816.70666666978,192626.13333333013,182011.75111110907,AZ,3.937333333333333,4.453833333333335,4.421111111111116,4.0885333333333485,3.746483333333321,3.746483333333321,59.9,64.06666666666666,63.93333333333333,51.00666666666667,45.85333333333333,52.35333333333333,0.680724428184002,0.7181900311922832,0.6320689132611287,0.7961381593573047,0.9024523071424144,0.9024523071424144,6.0192220828577945,6.390847976059657,6.227521374664624,17.146426899121398,17.313812474232144,17.63407687995697,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3388.972847865942,3196.4414055197235,3582.6347259131685,3396.6205226239686,3207.136374017443,3588.6937708143805,3399.5105529684083,3208.5856049808854,3587.9627698941154,3436.4445100565385,3262.1194411058163,3626.8590884355663,3464.839525998571,3278.829358086764,3662.044505324765,3284.65595199762,3117.3171293049672,3471.723127128622
17,1703,,29.0,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,422,5479,6821,4137,1-sigma confidence interval,3.8,350,191,,,2021-10-27 18:26:30+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,188145.0,8.0,218645.0,188145.0,False,,187899.5999999997,188305.3000000003,188790.54444444456,190816.70666666978,192626.13333333013,182011.75111110907,AZ,3.937333333333333,4.453833333333335,4.421111111111116,4.0885333333333485,3.746483333333321,3.746483333333321,59.9,64.06666666666666,63.93333333333333,51.00666666666667,45.85333333333333,52.35333333333333,0.680724428184002,0.7181900311922832,0.6320689132611287,0.7961381593573047,0.9024523071424144,0.9024523071424144,6.0192220828577945,6.390847976059657,6.227521374664624,17.146426899121398,17.313812474232144,17.63407687995697,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3387.96523885933,3196.5297474866334,3577.047663218879,3391.943481110229,3214.5943207863183,3582.4426783943627,3404.4330897026352,3217.3134818721455,3587.1551779546635,3444.6409700753866,3275.9304093080445,3645.7654946411694,3468.0821367761446,3283.4729680249675,3656.3938259180622,3275.367075627476,3105.886564279483,3474.3492483785258
18,1731,,6.0,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,5645,,,2098,3.744716667,,,,,2021-10-27 18:26:30+00:00,,,PRISMA/UPV,2,,PRISMA,UPV,UT 1 sigma,,,188145.0,8.0,218645.0,188145.0,False,,187899.5999999997,188305.3000000003,188790.54444444456,190816.70666666978,192626.13333333013,182011.75111110907,AZ,3.937333333333333,4.453833333333335,4.421111111111116,4.0885333333333485,3.746483333333321,3.746483333333321,59.9,64.06666666666666,63.93333333333333,51.00666666666667,45.85333333333333,52.35333333333333,0.680724428184002,0.7181900311922832,0.6320689132611287,0.7961381593573047,0.9024523071424144,0.9024523071424144,6.0192220828577945,6.390847976059657,6.227521374664624,17.146426899121398,17.313812474232144,17.63407687995697,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3390.8509278443858,3199.3695667016277,3579.152135429792,3387.269934142959,3208.8599289948597,3572.486754949655,3399.6538633742457,3207.2606814928336,3588.7235581193795,3432.3530114597884,3224.5339536715373,3651.509699869007,3464.383116896462,3283.5269157904877,3660.4032830921233,3271.902657546971,3115.439687012068,3460.563150038669
19,1755,,29.0,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,422,5051,6454,3648,1-sigma confidence interval,3.36,46.7,191.0,,,2021-10-27 18:26:30+00:00,,,PRISMA/Kayrros,2,,PRISMA,Kayrros,+/- 1 sigma,,,188145.0,8.0,218645.0,188145.0,False,,187899.5999999997,188305.3000000003,188790.54444444456,190816.70666666978,192626.13333333013,182011.75111110907,AZ,3.937333333333333,4.453833333333335,4.421111111111116,4.0885333333333485,3.746483333333321,3.746483333333321,59.9,64.06666666666666,63.93333333333333,51.00666666666667,45.85333333333333,52.35333333333333,0.680724428184002,0.7181900311922832,0.6320689132611287,0.7961381593573047,0.9024523071424144,0.9024523071424144,6.0192220828577945,6.390847976059657,6.227521374664624,17.146426899121398,17.313812474232144,17.63407687995697,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3391.530934987241,3202.015589220022,3581.85538695285,3388.2763806406683,3203.7013538204646,3572.061359624861,3396.3039740568925,3211.7887340036887,3594.5283767082637,3439.901542094026,3246.179293729043,3635.103503702361,3469.829693022194,3280.688667256109,3690.3113706718423,3278.7663201273563,3092.899582183826,3464.017638737587
