Operator_Timestamp,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,Stanford_timestamp,Satellite,Team,UnblindingStage,cr_quad_scfh,PipeSize_inch,MeterCode,cr_scfh_mean300,cr_scfh_mean600,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
2021-10-19 18:24:58+00:00,319,6098,7431,4765,1-sigma confidence interval,2.49,14.79,189,2021-10-19 18:24:58+00:00,Sentinel-2,Kayrros,2,409664.08,8,218645,398438,382613,7181,6764,7597,6887,6529,7266
2021-10-21 18:10:37+00:00,319,2171,4958,626,1-sigma confidence interval,2.2,6,189,2021-10-21 18:10:37+00:00,Landsat 8,Kayrros,1,231569,8,218645,231569,231569,4194,3949,4451,4163,3954,4414
2021-10-21 18:10:37+00:00,319,3234,3921,2547,1-sigma confidence interval,3.9,47.46,189,2021-10-21 18:10:37+00:00,Landsat 8,Kayrros,2,231569,8,218645,231569,231569,4193,3956,4468,4164,3931,4381
2021-10-22 18:34:54+00:00,0,0,,,,,,,2021-10-22 18:34:54+00:00,Sentinel-2,Kayrros,1,92870.1,4,218645,93016,93858,1673,1579,1777,1687,1595,1785
2021-10-22 18:34:54+00:00,0,0,,,,,,,2021-10-22 18:34:54+00:00,Sentinel-2,Kayrros,2,92870.1,4,218645,93016,93858,1678,1584,1773,1692,1614,1789
2021-10-24 18:25:02+00:00,cloudy,cloudy,,,,,,,2021-10-24 18:25:02+00:00,Sentinel-2,Kayrros,1,225354,8,218645,221737,219168,3990,3788,4218,3944,3733,4180
2021-10-24 18:25:02+00:00,cloudy,cloudy,,,,,,,2021-10-24 18:25:02+00:00,Sentinel-2,Kayrros,2,225354,8,218645,221737,219168,3990,3775,4232,3943,3730,4176
2021-10-27 18:34:57+00:00,376,5614,9773,2634,1-sigma confidence interval,3.8,350,189,2021-10-27 18:34:57+00:00,Sentinel-2,Kayrros,1,195078,8,218645,194121,191475,3492,3312,3681,3444,3236,3640
2021-10-27 18:34:57+00:00,376,5134,6929,3340,1-sigma confidence interval,3.32,46.1,189,2021-10-27 18:34:57+00:00,Sentinel-2,Kayrros,2,195078,8,218645,194121,191475,3498,3304,3700,3450,3269,3661
2021-10-28 18:16:48+00:00,280,2236,5136,363,1-sigma confidence interval,4,10,189,2021-10-28 18:16:48+00:00,Landsat 8,Kayrros,1,116668,8,218645,115474,114725,2081,1961,2209,2072,1954,2193
