,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
10,1631,,5,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,1,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,4.048066666666667,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4494.3509913290745,4251.075236400941,4749.707010974813,4501.659959919319,4255.036760789588,4754.718302445119,4515.393216592665,4268.447012481428,4765.626082998805,4479.40197230185,4235.527942454888,4730.204011580982,4329.808127164882,4092.2581474914978,4575.264041470173
11,1654,,28,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,3561,4401,2721,1-sigma confidence interval,2.2,6,191,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,1,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,4.048066666666667,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4493.208747325825,4246.020917697183,4742.1489523777345,4499.683784570262,4251.7357823200555,4755.84851757357,4515.449363446886,4267.3960992326765,4765.473070292067,4479.548353105663,4235.062494423354,4729.641471093414,4331.546549361982,4095.8695529534502,4577.798304135875
12,1679,,5,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,6469,,,2434,3.935766667,,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,2,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,4.048066666666667,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4495.992011224476,4247.309615814289,4744.45352815299,4506.056218565941,4260.269758514208,4759.000966014956,4517.4088397212345,4265.257091579128,4768.597844677009,4477.612162616172,4233.433722690612,4733.164511227115,4327.421459898546,4093.4701577651076,4569.75452360917
13,1702,,28,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,4781,5727,3835,1-sigma confidence interval,3.89,42.9,191.0,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,2,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,4.048066666666667,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4496.552880962475,4253.251549336821,4747.3679678287945,4501.178378788704,4250.176624465648,4758.280779867632,4515.59360635429,4269.633926701691,4772.064464791696,4479.004094379585,4235.454496461997,4730.491314399869,4328.408507710889,4092.4704069352483,4567.37667279058
14,1632,,6,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,7226,,,2890,5.155525006,183.9472,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,1,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,4.088533333333333,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3391.693112589902,3200.8895278955647,3582.347042152189,3397.91911329125,3207.6446949418387,3587.2960949871626,3409.447875406433,3216.3882211575633,3600.665247472623,3443.5511492542573,3250.9649257160145,3638.111285385721,3475.834382134661,3282.4107462926636,3669.9860264160648
15,1655,,29,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,422,5479,6821,4137,1-sigma confidence interval,3.8,350,191,,,2021-10-27 18:26:30+00:00,,PRISMA/Kayrros,1,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,4.088533333333333,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3390.84964743968,3199.992607307464,3581.9483032757275,3397.688102731488,3208.1853700015795,3586.2713252234107,3408.3473916680364,3218.929742794026,3602.182361193765,3443.616882321699,3252.343694371186,3637.3334656149837,3475.0495203369064,3280.8823460718672,3667.9132025318095
16,1680,,6,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,5645,,,2098,3.744716667,,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,2,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,4.088533333333333,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3390.519933099971,3197.446407365563,3580.6575423216123,3397.220288690363,3202.190055033171,3588.434030809144,3408.8067768849232,3217.0759533796054,3599.374233392005,3443.9463455911905,3251.9673118562023,3636.7729543062032,3475.388941692002,3276.9274965009886,3672.2290021511812
17,1703,,29,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,422,5051,6454,3648,1-sigma confidence interval,3.36,46.7,191.0,,,2021-10-27 18:26:30+00:00,,PRISMA/Kayrros,2,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,4.088533333333333,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3391.1561027816265,3200.8820114909663,3581.359349415013,3398.592798220436,3207.894707262896,3593.6387406782155,3406.258828586838,3218.61915674715,3597.585759708467,3441.7033732707137,3248.479409227542,3634.981228055991,3476.207814412621,3282.8271670828913,3669.2603897204804
18,1633,,7,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,170.88 ,5468 ,,,1446,1.481 ,-96.7 ,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/UPV,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,1.9673333333333332,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7394.890086807647,6991.508826808789,7809.167675663131,7379.075696807791,6980.3852689641435,7778.548161992766,7361.912655612725,6959.960119392608,7777.301022111634,7189.989738889258,6794.158004474934,7585.2369432499845,6904.942574733117,6531.135937015808,7285.734567666624
19,1644,,18,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,319,6790,10408,4095,1-sigma confidence interval,2.9,338,189,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Kayrros,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,1.9673333333333332,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7394.774438949624,6993.167573455137,7813.20693505206,7380.73407647557,6970.120005443157,7797.01132788058,7362.8843848177685,6967.432597894162,7764.995862031079,7189.879921860472,6795.381577252675,7600.948577108611,6902.947957211704,6529.058737911327,7297.8459938736305
