,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
10,1631,,5,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,1,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4484.584064706205,4248.186758790216,4706.55620765676,4498.686603050027,4276.194899851912,4766.892488725315,4515.654023903149,4302.229237682974,4744.357430416726,4477.52028085584,4235.6169668768625,4737.121833670855,4310.818690563765,4078.049291902075,4552.724045900288
11,1654,,28,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,3561,4401,2721,1-sigma confidence interval,2.2,6,191,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,1,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4491.663924743214,4260.916061927748,4737.005408015211,4488.343910382485,4244.668326705576,4770.363236858524,4511.066678091702,4262.430448204548,4748.992732300502,4472.5030936403555,4231.395493578022,4716.542546416117,4316.960164194167,4092.8880484893975,4545.999556777353
12,1679,,5,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,6469,,,2434,3.935766667,,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,2,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4479.042658431198,4233.21274872679,4729.8033785071075,4501.156308650599,4252.828822226821,4761.968294915248,4505.459379023649,4267.339067609197,4756.78874407027,4465.780054729439,4241.688457443663,4713.097915511577,4327.292662587214,4091.7367672366104,4578.616653367655
13,1702,,28,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,4781,5727,3835,1-sigma confidence interval,3.89,42.9,191.0,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,2,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4484.994429889889,4262.569993331051,4736.934877332623,4494.066358363948,4250.6680924725115,4771.583346153367,4502.477403491376,4262.351632333634,4771.958038461375,4476.377336496105,4233.056563191394,4737.667878774082,4323.59885125598,4077.777118351021,4586.911840143113
14,1632,,6,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,7226,,,2890,5.155525006,183.9472,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,1,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3384.3906612014844,3187.7010361526936,3567.3523792998117,3390.3936086373787,3208.1262352664503,3608.559240981532,3396.6756949757614,3221.4148682329555,3606.1083381503117,3440.2822645545525,3234.144203042167,3628.90901469898,3465.161759877826,3277.6748550652214,3678.2387585445913
15,1655,,29,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,422,5479,6821,4137,1-sigma confidence interval,3.8,350,191,,,2021-10-27 18:26:30+00:00,,PRISMA/Kayrros,1,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3382.007982718823,3194.5436867231956,3575.0261503191077,3388.7924816533214,3211.382783573443,3572.318486508334,3401.2051947380005,3231.6506953979197,3594.686733768401,3439.615755856894,3244.43898499346,3653.948869721078,3465.2294618882916,3268.779767088296,3665.973392300928
16,1680,,6,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,5645,,,2098,3.744716667,,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,2,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3379.230203593881,3201.9865203462,3565.4767165946614,3396.3075257027504,3217.233080352602,3600.7068983319573,3398.3983762346184,3229.2162769725246,3605.4695365190805,3442.604808304994,3251.635895400705,3641.5028079007698,3469.714409759786,3278.764586731154,3689.036557907231
17,1703,,29,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,422,5051,6454,3648,1-sigma confidence interval,3.36,46.7,191.0,,,2021-10-27 18:26:30+00:00,,PRISMA/Kayrros,2,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3384.784763741195,3192.731811931162,3565.6742046469926,3395.028617009676,3204.7235780186397,3586.7309330927155,3405.002257208541,3210.5230991927847,3598.7252689114493,3441.152096097941,3252.250628937463,3634.3885349609805,3468.063370586172,3280.063823741885,3662.716693467346
18,1633,,7,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,170.88 ,5468 ,,,1446,1.481 ,-96.7 ,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/UPV,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7377.143491885795,6997.035382046927,7806.180511720875,7356.222541348504,6984.607340159568,7773.822057236001,7357.981960221615,6958.979825830522,7774.511354350324,7183.605905122107,6783.638801037168,7560.344879615038,6894.175704274831,6536.630726522598,7279.95573103638
19,1644,,18,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,319,6790,10408,4095,1-sigma confidence interval,2.9,338,189,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Kayrros,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7373.3576227183885,6971.571921486324,7733.381086006003,7370.716233353255,7011.101795351421,7815.820273069075,7339.701047311845,6954.414316368983,7783.48737389319,7182.472990002903,6783.904627944845,7566.070828211591,6912.853553184552,6533.688250247413,7323.183709158232
