,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,Satellite,Team,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
10,1631,,5,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,UT 1 sigma,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,PRISMA,UPV,1,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4484.584065,4248.186759,4706.556208,4498.686603,4276.1949,4766.892489,4515.654024,4302.229238,4744.35743,4477.520281,4235.616967,4737.121834,4310.818691,4078.049292,4552.724046
11,1654,,28,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1228,3561,4401,2721,1-sigma confidence interval,+/- 1 sigma,2.2,6,191,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,1,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4491.663925,4260.916062,4737.005408,4488.34391,4244.668327,4770.363237,4511.066678,4262.430448,4748.992732,4472.503094,4231.395494,4716.542546,4316.960164,4092.888048,4545.999557
12,1679,,5,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,6469,,,2434,UT 1 sigma,3.935766667,,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,PRISMA,UPV,2,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4479.042658,4233.212749,4729.803379,4501.156309,4252.828822,4761.968295,4505.459379,4267.339068,4756.788744,4465.780055,4241.688457,4713.097916,4327.292663,4091.736767,4578.616653
13,1702,,28,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1228,4781,5727,3835,1-sigma confidence interval,+/- 1 sigma,3.89,42.9,191,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,2,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4484.99443,4262.569993,4736.934877,4494.066358,4250.668092,4771.583346,4502.477403,4262.351632,4771.958038,4476.377336,4233.056563,4737.667879,4323.598851,4077.777118,4586.91184
14,1632,,6,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,7226,,,2890,UT 1 sigma,5.155525006,183.9472,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,PRISMA,UPV,1,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,AZ,2021-10-27 18:13:45+00:00,0,2011,2812.01,TRUE,12.75,TRUE,TP,1,3384.390661,3187.701036,3567.352379,3390.393609,3208.126235,3608.559241,3396.675695,3221.414868,3606.108338,3440.282265,3234.144203,3628.909015,3465.16176,3277.674855,3678.238759
15,1655,,29,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,422,5479,6821,4137,1-sigma confidence interval,+/- 1 sigma,3.8,350,191,,,2021-10-27 18:26:30+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,1,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,AZ,2021-10-27 18:13:45+00:00,0,2011,2812.01,TRUE,12.75,TRUE,TP,1,3382.007983,3194.543687,3575.02615,3388.792482,3211.382784,3572.318487,3401.205195,3231.650695,3594.686734,3439.615756,3244.438985,3653.94887,3465.229462,3268.779767,3665.973392
16,1680,,6,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,5645,,,2098,UT 1 sigma,3.744716667,,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,PRISMA,UPV,2,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,AZ,2021-10-27 18:13:45+00:00,0,2011,2812.01,TRUE,12.75,TRUE,TP,1,3379.230204,3201.98652,3565.476717,3396.307526,3217.23308,3600.706898,3398.398376,3229.216277,3605.469537,3442.604808,3251.635895,3641.502808,3469.71441,3278.764587,3689.036558
17,1703,,29,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,422,5051,6454,3648,1-sigma confidence interval,+/- 1 sigma,3.36,46.7,191,,,2021-10-27 18:26:30+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,2,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,AZ,2021-10-27 18:13:45+00:00,0,2011,2812.01,TRUE,12.75,TRUE,TP,1,3384.784764,3192.731812,3565.674205,3395.028617,3204.723578,3586.730933,3405.002257,3210.523099,3598.725269,3441.152096,3252.250629,3634.388535,3468.063371,3280.063824,3662.716693
18,1633,,7,1,1,,2021-10-19 18:24:58+00:00,,,,Methane,170.88,5468,,,1446,UT 1 sigma,1.481,-96.7,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/UPV,Sentinel-2,UPV,1,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,2021-10-19 18:05:36+00:00,0,2004,2874.49,TRUE,19.36666667,TRUE,TP,1,7377.143492,6997.035382,7806.180512,7356.222541,6984.60734,7773.822057,7357.98196,6958.979826,7774.511354,7183.605905,6783.638801,7560.34488,6894.175704,6536.630727,7279.955731
19,1644,,18,1,1,,2021-10-19 18:24:58+00:00,,,,Methane,319,6790,10408,4095,1-sigma confidence interval,+/- 1 sigma,2.9,338,189,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Kayrros,Sentinel-2,Kayrros,1,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,2021-10-19 18:05:36+00:00,0,2004,2874.49,TRUE,19.36666667,TRUE,TP,1,7373.357623,6971.571921,7733.381086,7370.716233,7011.101795,7815.820273,7339.701047,6954.414316,7783.487374,7182.47299,6783.904628,7566.070828,6912.853553,6533.68825,7323.183709
