,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900
0,1672,,1.0,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,3.72,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1634.3664907059465,1535.992483985044,1733.920378527072,1638.5792066268261,1544.0757950470615,1739.7933071968248,1627.1489995592344,1530.5555424914023,1735.6725311428359,1668.5527013931885,1567.0671110481471,1776.7988856337306,1690.5817677984023,1547.5155284768252,1848.9705005366932,1675.972967888153,1477.6387806940502,1869.9776998000157
1,1724,,1.0,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,4.27,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1634.1840599282302,1534.1408475634876,1736.791229952891,1641.1334866446066,1540.8165262999219,1748.3441849198157,1627.6665779576688,1529.1441643125622,1732.8196731146616,1671.412932698534,1561.7266787587168,1787.657760619037,1695.7723543245363,1556.4139948598176,1844.4479136305226,1668.6677698272042,1492.7161727880004,1849.9116366202184
2,1673,,2.0,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4237.735101407912,4005.7272149168307,4480.503938522533,4215.709154065464,3988.3032910243974,4449.080304741017,4224.46278062187,4000.6510086017556,4473.345507060844,4229.489630171573,3989.719553903583,4465.6621975687485,4231.3018021939315,4016.239614566804,4473.510366869019,4210.105869354724,3981.091922481459,4452.470682701069
3,1725,,2.0,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4237.803510484083,4006.3663871000153,4475.133806665857,4228.952934088661,3998.948561956043,4476.194312562913,4224.046159835751,3998.3556595771624,4473.207773552254,4239.733501587916,4025.89020255096,4492.354717279741,4225.97278056277,4007.0538558677827,4451.602546879218,4215.067836499986,3986.5294768118993,4453.630487087365
4,1674,,3.0,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.21793291703247,185.9673171409268,208.16625042973752,196.98942214633564,186.45915827176435,208.48966750275457,196.93557888553153,186.0955300046197,208.02284743926378,196.9156588759417,185.58665141454162,208.5884903965687,199.08553514247458,187.44545708200158,210.3743252143624,147.6534286597236,138.479658200404,156.11600984382738
5,1726,,3.0,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.19039003761014,185.84943292402534,208.42560614222873,197.22490038653527,186.43043782629138,209.29568201200638,196.86109885758694,185.86280677902886,208.08386672641134,197.18156518132227,186.12684406969987,208.88872516727415,198.74220249585292,186.63528959251232,209.46586946348532,147.61680335881152,139.72155751080925,156.16262979128646
6,1676,,,1.0,1.0,,2021-11-03 17:22:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-03 17:22:00+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,,,,6390.1,2.0,218645.0,6390.1,False,,6371.826666666666,6375.1150000000025,6374.798888888897,6360.215999999995,6341.749999999992,6109.344666666654,AZ,3.702333333333331,3.573,3.4016666666666646,2.9348000000000076,2.7705166666666647,2.7705166666666647,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:07:48+00:00,0.0,2015.0,2907.629999999999,True,14.2,True,TP,1.0,114.96685523956418,108.04623631727378,121.82093159203721,114.62035919844335,108.35723651857509,121.72211477234075,115.06429077162576,107.65930791984393,122.25935807834438,114.55498877170292,107.94589526212033,121.6092990606048,114.3302164504755,107.18704630679999,122.56408779882904,109.93929222818903,103.37600511195897,116.61219365946273
7,1728,,,1.0,1.0,,2021-11-03 17:22:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-03 17:22:00+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,,,,6390.1,2.0,218645.0,6390.1,False,,6371.826666666666,6375.1150000000025,6374.798888888897,6360.215999999995,6341.749999999992,6109.344666666654,AZ,3.702333333333331,3.573,3.4016666666666646,2.9348000000000076,2.7705166666666647,2.7705166666666647,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:07:48+00:00,0.0,2015.0,2907.629999999999,True,14.2,True,TP,1.0,115.00856074765665,108.00151852189965,121.88480321879452,114.66966551173013,108.10680524474444,121.94659118097205,115.06775816820667,108.22786147172154,121.685709245867,114.58676618229386,107.81770756063145,121.6457770218221,114.49792889247877,107.59141364778297,121.31368523180564,109.93763370890123,103.3617529295,117.06149176178027
8,1677,,4.0,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445,2494,,,966,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,1,,PRISMA,UPV,UT 1 sigma,,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.173335938412,2202.259513511095,2470.6483213989727,2340.7301190806734,2214.4717561409475,2501.8731794052046,2291.845601852,2161.9240096873427,2423.8985930996273,2357.153592507668,2215.8675384601247,2500.044363740937,2411.8025822450827,2227.343959983505,2611.763206391645,2520.9293179567308,2238.6052708532816,2834.48145196282
9,1701,,27.0,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,3.8,359,191,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.117408557873,2200.9569057608524,2472.7764780694415,2348.0550981910333,2210.136512522621,2493.096960143913,2292.181721744841,2158.186882115541,2436.8386702280695,2347.22401561574,2195.834994017868,2499.815584027539,2395.368345244268,2208.7804194313903,2589.7341380959715,2531.700379924314,2263.383229524793,2825.884265305018
