,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
10,740,400.0,F3,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,188.9047379,314.4977559,346.7172462,282.27826560000005,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,Sonic,CarbonMapper,3,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999972,22115.51999999997,22141.473333333273,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,True,TP,1.0,357.6198403162299,332.8802995719199,383.8652835687318,357.73202930542766,332.93866021477186,383.9250770709261,357.89312334164225,333.2800414533054,384.593213475065
11,347,7.0,7.0,1.0,1.0,,2021-07-30 15:42:25+00:00,,,,Methane,115.45128840000001,466.86224230000005,567.7117517,366.0127329,,2.713584705,,,1.0,,2021-07-30 15:42:25+00:00,NASA-GEOS,CarbonMapper,1,,22063.8,2.0,162928.0,22063.8,False,,22115.749999999993,22151.65166666658,22191.317777777687,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,1126.195,True,True,TP,1.0,357.54260709306,333.3848088433681,383.5876666084149,358.27982183063887,333.9360784757046,384.56835983740257,358.5566799616318,333.74898941381207,384.48460557062316
12,572,232.0,4,1.0,1.0,,2021-07-30 15:42:25+00:00,,,,Methane,115.45128840000001,463.3780648,569.8707631,356.8853666,,2.693333333,,,1.0,,2021-07-30 15:42:25+00:00,Sonic,CarbonMapper,2,,22063.8,2.0,162928.0,22063.8,False,,22115.749999999993,22151.65166666658,22191.317777777687,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,1126.195,True,True,TP,1.0,357.2706098148435,333.11773290273567,382.7327509838641,357.99498644518957,334.3358854390223,383.4218741245354,358.8516121372632,334.88953721034807,385.02824069824754
13,741,401.0,F4,1.0,1.0,,2021-07-30 15:42:25+00:00,,,,Methane,169.8381583,551.3857383,658.9515246000001,443.81995199999994,,2.693333333,,,1.0,,2021-07-30 15:42:25+00:00,Sonic,CarbonMapper,3,,22063.8,2.0,162928.0,22063.8,False,,22115.749999999993,22151.65166666658,22191.317777777687,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,1126.195,True,True,TP,1.0,357.5773496162186,332.86799992331424,382.90492251428117,357.9440126511736,333.6103336607913,383.5945097414001,358.5538513576341,334.3077238422028,384.48588290793117
14,348,8.0,8.0,1.0,1.0,,2021-07-30 15:44:23+00:00,,,,Methane,150.0,307.4843713,381.712173,233.2565696,,2.713584705,,,1.0,,2021-07-30 15:44:03+00:00,NASA-GEOS,CarbonMapper,1,,10640.9,2.0,162928.0,10640.9,False,,10789.779999999973,10817.631666666633,9857.176666666615,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,116.13499999999999,False,True,NE,-1.0,174.40186141658276,157.3200912396585,191.72333804818618,174.8153222627701,158.6134482088015,192.0988984610709,159.273947084801,143.033917505524,175.74100436660277
15,573,233.0,5,1.0,1.0,,2021-07-30 15:44:23+00:00,,,,Methane,150.0,309.3822086,368.94500350000004,249.8194137,,2.730333333,,,1.0,,2021-07-30 15:44:03+00:00,Sonic,CarbonMapper,2,,10640.9,2.0,162928.0,10640.9,False,,10789.779999999973,10817.631666666633,9857.176666666615,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,116.13499999999999,False,True,NE,-1.0,174.22785619001783,157.63442152795918,191.6805265491434,174.93296920544302,158.08884604899285,192.506503829159,159.41945306568456,143.27096221494742,175.7812012487794
16,742,402.0,F5,1.0,1.0,,2021-07-30 15:44:23+00:00,,,,Methane,200.124961,149.05040060000002,164.462918,133.6378832,,2.730333333,,,1.0,,2021-07-30 15:44:03+00:00,Sonic,CarbonMapper,3,,10640.9,2.0,162928.0,10640.9,False,,10789.779999999973,10817.631666666633,9857.176666666615,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,116.13499999999999,False,True,NE,-1.0,174.32816765263607,157.35770756701353,191.91669835541725,174.89466082434183,157.79434890586512,192.1908405160596,159.36433102385175,143.01297198448597,176.32504978851023
17,349,9.0,9.0,1.0,1.0,,2021-07-30 15:46:25+00:00,,,,Methane,142.9020644,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:46:07+00:00,NASA-GEOS,CarbonMapper,1,,10738.0,2.0,162928.0,10738.0,False,,10772.469999999968,10768.049999999943,10650.493333333252,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,571.415,True,True,ER,-1.0,174.1889108905139,157.53873672517926,191.52836122874916,173.96863081485972,157.37600752211654,191.04581360404146,172.16397925259182,155.90949015931776,189.47004761084386
18,350,10.0,10.0,1.0,1.0,,2021-07-30 15:48:16+00:00,,,,Methane,144.0624864,240.00620919999997,296.9648235,183.0475949,,2.713584705,,,1.0,,2021-07-30 15:48:00+00:00,NASA-GEOS,CarbonMapper,1,,10769.3,2.0,162928.0,10769.3,False,,10738.906666666624,10744.933333333292,10746.722222222157,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,940.075,True,True,TP,1.0,173.52096902380092,156.74530418506845,190.8914486887708,173.66053599331775,156.93487043953039,190.86034397313733,173.8155899768205,156.72054265923106,191.14785959760954
19,574,234.0,6,1.0,1.0,,2021-07-30 15:48:16+00:00,,,,Methane,144.0624864,224.7417495,271.711658,177.7718409,,2.541,,,1.0,,2021-07-30 15:48:00+00:00,Sonic,CarbonMapper,2,,10769.3,2.0,162928.0,10769.3,False,,10738.906666666624,10744.933333333292,10746.722222222157,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,940.075,True,True,TP,1.0,173.6486326563038,157.07499771496816,191.02387599237494,173.58437763972873,156.95415333017814,190.74167031258818,173.80728097819295,157.17767228663647,191.18808662707215
