,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
10,854,400.0,F3,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,188.9047379,314.4977559,346.7172462,282.27826560000005,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,Sonic,CarbonMapper,3,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999972,22115.51999999997,22141.473333333273,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,True,TP,1.0,357.4172679404981,344.98286798873363,369.9548165154571,357.40096971274016,344.9246889475564,370.0635211429331,357.77210928005525,344.895054850511,370.6077874780906
11,461,7.0,7.0,1.0,1.0,,2021-07-30 15:42:25+00:00,,,,Methane,115.45128840000001,466.86224230000005,567.7117517,366.0127329,,2.713584705,,,1.0,,2021-07-30 15:42:25+00:00,HRRR,CarbonMapper,1,,22063.8,2.0,162928.0,22063.8,False,,22115.749999999993,22151.65166666658,22191.317777777687,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,1126.195,True,True,TP,1.0,357.51440696381286,344.8098828810456,370.24948663053624,358.04686630243435,345.6224607570309,370.6566169706607,358.6301417888983,346.1218752613877,371.1512438585444
12,686,232.0,4,1.0,1.0,,2021-07-30 15:42:25+00:00,,,,Methane,115.45128840000001,463.3780648,569.8707631,356.8853666,,2.693333333,,,1.0,,2021-07-30 15:42:25+00:00,Sonic,CarbonMapper,2,,22063.8,2.0,162928.0,22063.8,False,,22115.749999999993,22151.65166666658,22191.317777777687,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,1126.195,True,True,TP,1.0,357.47257937790334,344.81824209159635,370.14117763444324,358.0276147014871,345.28869847052516,370.6757128448985,358.724674043418,345.8313081610841,371.4790237720653
13,855,401.0,F4,1.0,1.0,,2021-07-30 15:42:25+00:00,,,,Methane,169.8381583,551.3857383,658.9515246000001,443.81995199999994,,2.693333333,,,1.0,,2021-07-30 15:42:25+00:00,Sonic,CarbonMapper,3,,22063.8,2.0,162928.0,22063.8,False,,22115.749999999993,22151.65166666658,22191.317777777687,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,1126.195,True,True,TP,1.0,357.5845192092959,344.8712475824916,370.1052259108552,358.0487882632731,345.4073142934464,370.6302268376837,358.7314988488403,345.7662795232918,371.15530051158186
14,462,8.0,8.0,1.0,1.0,,2021-07-30 15:44:23+00:00,,,,Methane,150.0,307.4843713,381.712173,233.2565696,,2.713584705,,,1.0,,2021-07-30 15:44:03+00:00,HRRR,CarbonMapper,1,,10640.9,2.0,162928.0,10640.9,False,,10789.779999999973,10817.631666666633,9857.176666666615,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,116.13499999999999,False,True,NE,-1.0,174.5798626469107,166.0392790801473,183.10503239596335,174.76686250365108,165.99487985447942,183.4226335212926,159.35038939145016,151.00445013708864,167.608426828589
15,687,233.0,5,1.0,1.0,,2021-07-30 15:44:23+00:00,,,,Methane,150.0,309.3822086,368.94500350000004,249.8194137,,2.730333333,,,1.0,,2021-07-30 15:44:03+00:00,Sonic,CarbonMapper,2,,10640.9,2.0,162928.0,10640.9,False,,10789.779999999973,10817.631666666633,9857.176666666615,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,116.13499999999999,False,True,NE,-1.0,174.35385529520542,165.80560838927744,182.93577449396284,174.85777807168103,166.12395643812192,183.5205950913565,159.27060879107017,150.85281746302914,167.64723938567016
16,856,402.0,F5,1.0,1.0,,2021-07-30 15:44:23+00:00,,,,Methane,200.124961,149.05040060000002,164.462918,133.6378832,,2.730333333,,,1.0,,2021-07-30 15:44:03+00:00,Sonic,CarbonMapper,3,,10640.9,2.0,162928.0,10640.9,False,,10789.779999999973,10817.631666666633,9857.176666666615,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,116.13499999999999,False,True,NE,-1.0,174.4059080895031,165.78523297276664,183.09501590369084,174.81311042856944,166.31675268054468,183.4591564837509,159.36437410989586,151.02319291875688,167.60644174403814
17,463,9.0,9.0,1.0,1.0,,2021-07-30 15:46:25+00:00,,,,Methane,142.9020644,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:46:07+00:00,HRRR,CarbonMapper,1,,10738.0,2.0,162928.0,10738.0,False,,10772.469999999968,10768.049999999943,10650.493333333252,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,571.415,True,True,ER,-1.0,174.14234042916058,165.54710484771144,182.72215794963182,173.97182603710806,165.2241417086288,182.6628708601888,172.31490787386628,163.72793867832397,180.9695520194789
18,464,10.0,10.0,1.0,1.0,,2021-07-30 15:48:16+00:00,,,,Methane,144.0624864,240.00620919999997,296.9648235,183.0475949,,2.713584705,,,1.0,,2021-07-30 15:48:00+00:00,HRRR,CarbonMapper,1,,10769.3,2.0,162928.0,10769.3,False,,10738.906666666624,10744.933333333292,10746.722222222157,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,940.075,True,True,TP,1.0,173.4774282991658,164.84831699268253,182.06206599236418,173.74458845466341,165.3196742218417,182.33696824956525,173.8193640775199,165.37756729425544,182.37645715826523
19,688,234.0,6,1.0,1.0,,2021-07-30 15:48:16+00:00,,,,Methane,144.0624864,224.7417495,271.711658,177.7718409,,2.541,,,1.0,,2021-07-30 15:48:00+00:00,Sonic,CarbonMapper,2,,10769.3,2.0,162928.0,10769.3,False,,10738.906666666624,10744.933333333292,10746.722222222157,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,940.075,True,True,TP,1.0,173.5336348052859,165.1143433897241,182.11236655671865,173.5729559180644,164.99372579126674,182.23030466486253,173.58588803106616,165.07311828232397,182.20405225313328
