datetime,channel_1,channel_2,channel_3,channel_4
10/21/21 19:47:39,-498.4,>Range,>Range,0.9
10/21/21 19:47:40,-500.7,>Range,>Range,0.9
10/21/21 19:47:41,-502.7,>Range,>Range,0.9
10/21/21 19:47:42,-508.1,>Range,>Range,0.9
10/21/21 19:47:43,-506.5,>Range,>Range,0.9
10/21/21 19:47:44,-505.2,>Range,>Range,0.9
10/21/21 19:47:45,-519.2,>Range,>Range,0.9
10/21/21 19:47:46,-522.4,>Range,>Range,0.9
10/21/21 19:47:47,-526.6,>Range,>Range,0.9
10/21/21 19:47:48,-519.8,>Range,>Range,0.9
10/21/21 19:47:49,-524.1,>Range,>Range,0.9
10/21/21 19:47:50,-528.7,>Range,>Range,0.9
10/21/21 19:47:51,-535.3,>Range,>Range,0.9
10/21/21 19:47:52,-529,>Range,>Range,0.9
10/21/21 19:47:53,-529.7,>Range,>Range,0.9
10/21/21 19:47:54,-523.8,>Range,>Range,0.9
10/21/21 19:47:55,-515.8,>Range,>Range,0.9
10/21/21 19:47:56,-516.6,>Range,>Range,0.9
10/21/21 19:47:57,-512.3,>Range,>Range,0.9
10/21/21 19:47:58,-511.8,>Range,>Range,0.9
10/21/21 19:47:59,-511.9,>Range,>Range,0.9
10/21/21 19:48:00,-518.5,>Range,>Range,0.9
10/21/21 19:48:01,-517.5,>Range,>Range,0.9
10/21/21 19:48:02,-521.3,>Range,>Range,0.9
10/21/21 19:48:03,-538.2,>Range,>Range,0.9
10/21/21 19:48:04,-548.9,>Range,>Range,0.9
10/21/21 19:48:05,-553.1,>Range,>Range,0.9
10/21/21 19:48:06,-560.4,>Range,>Range,0.9
10/21/21 19:48:07,-553.8,>Range,>Range,0.9
10/21/21 19:48:08,-542.5,>Range,>Range,0.9
10/21/21 19:48:09,-544.1,>Range,>Range,0.9
10/21/21 19:48:10,-538.2,>Range,>Range,0.9
10/21/21 19:48:11,-528.5,>Range,>Range,0.9
10/21/21 19:48:12,-533.7,>Range,>Range,0.9
10/21/21 19:48:13,-539.2,>Range,>Range,0.9
10/21/21 19:48:14,-541.1,>Range,>Range,0.9
10/21/21 19:48:15,-545,>Range,>Range,0.9
10/21/21 19:48:16,-548.2,>Range,>Range,0.9
10/21/21 19:48:17,-557.4,>Range,>Range,0.9
10/21/21 19:48:18,-568.9,>Range,>Range,0.9
10/21/21 19:48:19,-577,>Range,>Range,0.9
10/21/21 19:48:20,-593.3,>Range,>Range,0.9
10/21/21 19:48:21,-600.1,>Range,>Range,0.9
10/21/21 19:48:22,-609.3,>Range,>Range,0.9
10/21/21 19:48:23,-606,>Range,>Range,0.9
10/21/21 19:48:24,-598.2,>Range,>Range,0.9
10/21/21 19:48:25,-604.2,>Range,>Range,0.9
10/21/21 19:48:26,-590.1,>Range,>Range,0.9
10/21/21 19:48:27,-586.6,>Range,>Range,0.9
10/21/21 19:48:28,-582.1,>Range,>Range,0.9
10/21/21 19:48:29,-569.6,>Range,>Range,0.9
10/21/21 19:48:30,-561.2,>Range,>Range,0.9
10/21/21 19:48:31,-563.2,>Range,>Range,0.9
10/21/21 19:48:32,-556,>Range,>Range,0.9
10/21/21 19:48:33,-548.5,>Range,>Range,0.9
10/21/21 19:48:34,-557.2,>Range,>Range,0.9
10/21/21 19:48:35,-577,>Range,>Range,0.9
10/21/21 19:48:36,-589.3,>Range,>Range,0.9
10/21/21 19:48:37,-597.2,>Range,>Range,0.9
10/21/21 19:48:38,-602.1,>Range,>Range,0.9
10/21/21 19:48:39,-595.3,>Range,>Range,0.9
10/21/21 19:48:40,-598.7,>Range,>Range,0.9
10/21/21 19:48:41,-598.1,>Range,>Range,0.9
10/21/21 19:48:42,-603.4,>Range,>Range,0.9
10/21/21 19:48:43,-602.9,>Range,>Range,0.9
10/21/21 19:48:44,-599.2,>Range,>Range,0.9
10/21/21 19:48:45,-590,>Range,>Range,0.9
10/21/21 19:48:46,-582,>Range,>Range,0.9
10/21/21 19:48:47,-573.9,>Range,>Range,0.9
10/21/21 19:48:48,-559.2,>Range,>Range,0.9
10/21/21 19:48:49,-549.5,>Range,>Range,0.9
10/21/21 19:48:50,-544.5,>Range,>Range,0.9
10/21/21 19:48:51,-541.9,>Range,>Range,0.9
10/21/21 19:48:52,-526.9,>Range,>Range,0.9
10/21/21 19:48:53,-520.6,>Range,>Range,0.9
10/21/21 19:48:54,-522.5,>Range,>Range,0.9
10/21/21 19:48:55,-528,>Range,>Range,0.9
10/21/21 19:48:56,-537.8,>Range,>Range,0.9
10/21/21 19:48:57,-538.4,>Range,>Range,0.9
10/21/21 19:48:58,-536.1,>Range,>Range,0.9
10/21/21 19:48:59,-533.1,>Range,>Range,0.9
10/21/21 19:49:00,-535.9,>Range,>Range,0.9
10/21/21 19:49:01,-535,>Range,>Range,0.9
10/21/21 19:49:02,-530.3,>Range,>Range,0.9
10/21/21 19:49:03,-535.6,>Range,>Range,0.9
10/21/21 19:49:04,-537.2,>Range,>Range,0.9
10/21/21 19:49:05,-542.2,>Range,>Range,0.9
10/21/21 19:49:06,-544.6,>Range,>Range,0.9
10/21/21 19:49:07,-545.2,>Range,>Range,0.9
10/21/21 19:49:08,-546.1,>Range,>Range,0.9
10/21/21 19:49:09,-542.7,>Range,>Range,0.9
10/21/21 19:49:10,-540.9,>Range,>Range,0.9
10/21/21 19:49:11,-527.7,>Range,>Range,0.9
10/21/21 19:49:12,-522.3,>Range,>Range,0.9
10/21/21 19:49:13,-513.9,>Range,>Range,0.9
10/21/21 19:49:14,-509.6,>Range,>Range,0.9
10/21/21 19:49:15,-508.9,>Range,>Range,0.9
10/21/21 19:49:16,-509.5,>Range,>Range,0.9
10/21/21 19:49:17,-511.1,>Range,>Range,0.9
10/21/21 19:49:18,-505.9,>Range,>Range,0.9
10/21/21 19:49:19,-503.5,>Range,>Range,0.9
10/21/21 19:49:20,-501.6,>Range,>Range,0.9
10/21/21 19:49:21,-503.1,>Range,>Range,0.9
10/21/21 19:49:22,-509.8,>Range,>Range,0.9
10/21/21 19:49:23,-526.2,>Range,>Range,0.9
10/21/21 19:49:24,-532.3,>Range,>Range,0.9
10/21/21 19:49:25,-526.4,>Range,>Range,0.9
10/21/21 19:49:26,-520.3,>Range,>Range,0.9
10/21/21 19:49:27,-514.9,>Range,>Range,0.9
10/21/21 19:49:28,-510,>Range,>Range,0.9
10/21/21 19:49:29,-509.9,>Range,>Range,0.9
10/21/21 19:49:30,-509.2,>Range,>Range,0.9
10/21/21 19:49:31,-515.5,>Range,>Range,0.9
10/21/21 19:49:32,-514,>Range,>Range,0.9
10/21/21 19:49:33,-511.3,>Range,>Range,0.9
10/21/21 19:49:34,-510,>Range,>Range,0.9
10/21/21 19:49:35,-507.5,>Range,>Range,0.9
10/21/21 19:49:36,-503,>Range,>Range,0.9
10/21/21 19:49:37,-503.1,>Range,>Range,0.9
10/21/21 19:49:38,-505.8,>Range,>Range,0.9
