timestamp,g per s
10/20/2021 17:46:05,8.8358
10/20/2021 17:46:06,8.8389
10/20/2021 17:46:07,8.8416
10/20/2021 17:46:08,8.8469
10/20/2021 17:46:09,8.8482
10/20/2021 17:46:10,8.852
10/20/2021 17:46:11,8.8546
10/20/2021 17:46:12,8.8575
10/20/2021 17:46:13,8.8598
10/20/2021 17:46:14,8.8629
10/20/2021 17:46:15,8.8662
10/20/2021 17:46:16,8.8706
10/20/2021 17:46:17,8.873
10/20/2021 17:46:18,8.8766
10/20/2021 17:46:19,8.8793
10/20/2021 17:46:20,8.8812
10/20/2021 17:46:21,8.8814
10/20/2021 17:46:22,8.8804
10/20/2021 17:46:23,8.88
10/20/2021 17:46:24,8.8804
10/20/2021 17:46:25,8.8806
10/20/2021 17:46:26,8.8808
10/20/2021 17:46:27,8.882
10/20/2021 17:46:28,8.8825
10/20/2021 17:46:29,8.883
10/20/2021 17:46:30,8.883
10/20/2021 17:46:31,8.8854
10/20/2021 17:46:32,8.8872
10/20/2021 17:46:33,8.8896
10/20/2021 17:46:34,8.8913
10/20/2021 17:46:35,8.8924
10/20/2021 17:46:36,8.8941
10/20/2021 17:46:37,8.8965
10/20/2021 17:46:38,8.8998
10/20/2021 17:46:39,8.9025
10/20/2021 17:46:40,8.9053
10/20/2021 17:46:41,8.9065
10/20/2021 17:46:42,8.9063
10/20/2021 17:46:43,8.9064
10/20/2021 17:46:44,8.9072
10/20/2021 17:46:45,8.9093
10/20/2021 17:46:46,8.9116
10/20/2021 17:46:47,8.9143
10/20/2021 17:46:48,8.9185
10/20/2021 17:46:49,8.9219
10/20/2021 17:46:50,8.925
10/20/2021 17:46:51,8.9284
10/20/2021 17:46:52,8.9309
10/20/2021 17:46:53,8.9327
10/20/2021 17:46:54,8.9353
10/20/2021 17:46:55,8.9378
10/20/2021 17:46:56,8.9406
10/20/2021 17:46:57,8.9427
10/20/2021 17:46:58,8.9435
10/20/2021 17:46:59,8.9454
10/20/2021 17:47:00,8.9489
10/20/2021 17:47:01,8.951
10/20/2021 17:47:02,8.953
10/20/2021 17:47:03,8.9566
10/20/2021 17:47:04,8.9587
10/20/2021 17:47:05,8.9605
10/20/2021 17:47:06,8.9638
10/20/2021 17:47:07,8.9673
10/20/2021 17:47:08,8.9715
10/20/2021 17:47:09,8.9767
10/20/2021 17:47:10,8.9798
10/20/2021 17:47:11,8.9825
10/20/2021 17:47:12,8.9853
10/20/2021 17:47:13,8.9857
10/20/2021 17:47:14,8.9863
10/20/2021 17:47:15,8.9881
10/20/2021 17:47:16,8.9896
10/20/2021 17:47:17,8.9902
10/20/2021 17:47:18,8.9892
10/20/2021 17:47:19,8.9886
10/20/2021 17:47:20,8.9895
10/20/2021 17:47:21,8.9906
10/20/2021 17:47:22,8.9914
10/20/2021 17:47:23,8.9923
10/20/2021 17:47:24,8.993
10/20/2021 17:47:25,8.9929
10/20/2021 17:47:26,8.9931
10/20/2021 17:47:27,8.9937
10/20/2021 17:47:28,8.9945
10/20/2021 17:47:29,8.9953
10/20/2021 17:47:30,8.9964
10/20/2021 17:47:31,8.9967
10/20/2021 17:47:32,8.9969
10/20/2021 17:47:33,8.9994
10/20/2021 17:47:34,9.0018
10/20/2021 17:47:35,9.0034
10/20/2021 17:47:36,9.0055
10/20/2021 17:47:37,9.0068
10/20/2021 17:47:38,9.0078
10/20/2021 17:47:39,9.0091
10/20/2021 17:47:40,9.0101
10/20/2021 17:47:41,9.0099
10/20/2021 17:47:42,9.0092
10/20/2021 17:47:43,9.0092
10/20/2021 17:47:44,9.0096
10/20/2021 17:47:45,9.01
10/20/2021 17:47:46,9.0102
10/20/2021 17:47:47,9.0099
10/20/2021 17:47:48,9.0097
10/20/2021 17:47:49,9.0101
10/20/2021 17:47:50,9.0119
10/20/2021 17:47:51,9.0139
10/20/2021 17:47:52,9.015
10/20/2021 17:47:53,9.0156
10/20/2021 17:47:54,9.0155
10/20/2021 17:47:55,9.016
10/20/2021 17:47:56,9.0167
10/20/2021 17:47:57,9.0172
10/20/2021 17:47:58,9.0183
10/20/2021 17:47:59,9.0203
10/20/2021 17:48:00,9.0235
10/20/2021 17:48:01,9.0249
10/20/2021 17:48:02,9.0253
10/20/2021 17:48:03,8.8739
10/20/2021 17:48:04,8.562
10/20/2021 17:48:05,8.3558
10/20/2021 17:48:06,8.2083
10/20/2021 17:48:07,8.1429
10/20/2021 17:48:08,8.1042
10/20/2021 17:48:09,8.0645
10/20/2021 17:48:10,7.5751
10/20/2021 17:48:11,6.7347
10/20/2021 17:48:12,6.3001
10/20/2021 17:48:13,6.1539
10/20/2021 17:48:14,6.075
10/20/2021 17:48:15,6.0145
10/20/2021 17:48:16,5.9884
10/20/2021 17:48:17,5.9645
10/20/2021 17:48:18,5.2495
10/20/2021 17:48:19,4.3743
10/20/2021 17:48:20,4.0192
10/20/2021 17:48:21,3.8311
10/20/2021 17:48:22,3.7514
10/20/2021 17:48:23,3.7015
10/20/2021 17:48:24,3.6566
10/20/2021 17:48:25,3.6327
10/20/2021 17:48:26,3.5885
10/20/2021 17:48:27,0
10/20/2021 17:48:28,0
10/20/2021 17:48:29,0
10/20/2021 17:48:30,0
10/20/2021 17:48:31,0
10/20/2021 17:48:32,0
10/20/2021 17:48:33,0
10/20/2021 17:48:34,0
10/20/2021 17:48:35,0
10/20/2021 17:48:36,0
10/20/2021 17:48:37,0
10/20/2021 17:48:38,0
10/20/2021 17:48:39,0
10/20/2021 17:48:40,0
10/20/2021 17:48:41,0
10/20/2021 17:48:42,2.7841
10/20/2021 17:48:43,2.89
10/20/2021 17:48:44,3.0594
10/20/2021 17:48:45,3.2071
10/20/2021 17:48:46,3.2711
10/20/2021 17:48:47,3.3146
10/20/2021 17:48:48,3.3558
10/20/2021 17:48:49,3.3783
10/20/2021 17:48:50,3.3996
10/20/2021 17:48:51,3.4233
10/20/2021 17:48:52,3.4379
10/20/2021 17:48:53,3.4505
10/20/2021 17:48:54,3.464
10/20/2021 17:48:55,3.4724
10/20/2021 17:48:56,3.4799
10/20/2021 17:48:57,3.4883
10/20/2021 17:48:58,3.4935
10/20/2021 17:48:59,3.4983
10/20/2021 17:49:00,3.5041
10/20/2021 17:49:01,3.5082
10/20/2021 17:49:02,3.5117
10/20/2021 17:49:03,3.5152
10/20/2021 17:49:04,3.5192
10/20/2021 17:49:05,3.5212
10/20/2021 17:49:06,3.5225
10/20/2021 17:49:07,3.5225
10/20/2021 17:49:08,3.5225
10/20/2021 17:49:09,3.522
10/20/2021 17:49:10,3.5211
10/20/2021 17:49:11,3.5205
10/20/2021 17:49:12,3.5204
10/20/2021 17:49:13,3.5212
10/20/2021 17:49:14,3.5223
10/20/2021 17:49:15,3.5246
10/20/2021 17:49:16,3.5258
10/20/2021 17:49:17,3.5256
10/20/2021 17:49:18,3.524
10/20/2021 17:49:19,3.5224
10/20/2021 17:49:20,3.5213
10/20/2021 17:49:21,3.5198
10/20/2021 17:49:22,3.5187
10/20/2021 17:49:23,3.5177
10/20/2021 17:49:24,3.5174
10/20/2021 17:49:25,3.5172
10/20/2021 17:49:26,3.5171
10/20/2021 17:49:27,3.5176
10/20/2021 17:49:28,3.5177
10/20/2021 17:49:29,3.5168
10/20/2021 17:49:30,3.516
10/20/2021 17:49:31,3.5149
10/20/2021 17:49:32,3.5139
10/20/2021 17:49:33,3.514
10/20/2021 17:49:34,3.515
10/20/2021 17:49:35,3.5163
