timestamp,SCFH
10/18/2021 16:55:46,0
10/18/2021 16:55:47,0
10/18/2021 16:55:48,0
10/18/2021 16:55:49,0
10/18/2021 16:55:50,0
10/18/2021 16:55:51,0
10/18/2021 16:55:52,0
10/18/2021 16:55:53,0
10/18/2021 16:55:54,0
10/18/2021 16:55:55,0
10/18/2021 16:55:56,0
10/18/2021 16:55:57,0
10/18/2021 16:55:58,0
10/18/2021 16:55:59,0
10/18/2021 16:56:00,0
10/18/2021 16:56:01,0
10/18/2021 16:56:02,0
10/18/2021 16:56:03,0
10/18/2021 16:56:04,0
10/18/2021 16:56:05,0
10/18/2021 16:56:06,0
10/18/2021 16:56:07,0
10/18/2021 16:56:08,0
10/18/2021 16:56:09,0
10/18/2021 16:56:10,0
10/18/2021 16:56:11,0
10/18/2021 16:56:12,0
10/18/2021 16:56:13,0
10/18/2021 16:56:14,0
10/18/2021 16:56:15,0
10/18/2021 16:56:16,0
10/18/2021 16:56:17,0
10/18/2021 16:56:18,0
10/18/2021 16:56:19,0
10/18/2021 16:56:20,0
10/18/2021 16:56:21,0
10/18/2021 16:56:22,0
10/18/2021 16:56:23,0
10/18/2021 16:56:24,0
10/18/2021 16:56:25,0
10/18/2021 16:56:26,0
10/18/2021 16:56:27,0
10/18/2021 16:56:28,0
10/18/2021 16:56:29,0
10/18/2021 16:56:30,0
10/18/2021 16:56:31,0
10/18/2021 16:56:32,0
10/18/2021 16:56:33,0
10/18/2021 16:56:34,0
10/18/2021 16:56:35,0
10/18/2021 16:56:36,0
10/18/2021 16:56:37,0
10/18/2021 16:56:38,0
10/18/2021 16:56:39,0
10/18/2021 16:56:40,0
10/18/2021 16:56:41,0
10/18/2021 16:56:42,0
10/18/2021 16:56:43,0
10/18/2021 16:56:44,0
10/18/2021 16:56:45,0
10/18/2021 16:56:46,0
10/18/2021 16:56:47,0
10/18/2021 16:56:48,0
10/18/2021 16:56:49,0
10/18/2021 16:56:50,0
10/18/2021 16:56:51,0
10/18/2021 16:56:52,0
10/18/2021 16:56:53,0
10/18/2021 16:56:54,0
10/18/2021 16:56:55,0
10/18/2021 16:56:56,0
10/18/2021 16:56:57,0
10/18/2021 16:56:58,0
10/18/2021 16:56:59,0
10/18/2021 16:57:00,0
10/18/2021 16:57:01,0
10/18/2021 16:57:02,0
10/18/2021 16:57:03,0
10/18/2021 16:57:04,0
10/18/2021 16:57:05,0
10/18/2021 16:57:06,0
10/18/2021 16:57:07,0
10/18/2021 16:57:08,0
10/18/2021 16:57:09,0
10/18/2021 16:57:10,0
10/18/2021 16:57:11,0
10/18/2021 16:57:12,0
10/18/2021 16:57:13,0
10/18/2021 16:57:14,0
10/18/2021 16:57:15,0
10/18/2021 16:57:16,0
10/18/2021 16:57:17,0
10/18/2021 16:57:18,0
10/18/2021 16:57:19,0
10/18/2021 16:57:20,0
10/18/2021 16:57:21,0
10/18/2021 16:57:22,0
10/18/2021 16:57:23,0
10/18/2021 16:57:24,0
10/18/2021 16:57:25,0
10/18/2021 16:57:26,0
10/18/2021 16:57:27,0
10/18/2021 16:57:28,0
10/18/2021 16:57:29,0
10/18/2021 16:57:30,0
10/18/2021 16:57:31,0
10/18/2021 16:57:32,0
10/18/2021 16:57:33,0
10/18/2021 16:57:34,0
