datetime,channel_1,channel_2,channel_3,channel_4
10/21/21 18:50:58,39737.9,>Range,>Range,>Range
10/21/21 18:50:59,39845.2,>Range,>Range,>Range
10/21/21 18:51:00,39970.1,>Range,>Range,>Range
10/21/21 18:51:01,39971.8,>Range,>Range,>Range
10/21/21 18:51:02,39919.9,>Range,>Range,>Range
10/21/21 18:51:03,39907.3,>Range,>Range,>Range
10/21/21 18:51:04,40031.1,>Range,>Range,>Range
10/21/21 18:51:05,39951.1,>Range,>Range,>Range
10/21/21 18:51:06,39778.2,>Range,>Range,>Range
10/21/21 18:51:07,39597.3,>Range,>Range,>Range
10/21/21 18:51:08,39522.3,>Range,>Range,>Range
10/21/21 18:51:09,39520.7,>Range,>Range,>Range
10/21/21 18:51:10,39538.8,>Range,>Range,>Range
10/21/21 18:51:11,39617.2,>Range,>Range,>Range
10/21/21 18:51:12,39749.3,>Range,>Range,>Range
10/21/21 18:51:13,39812.6,>Range,>Range,>Range
10/21/21 18:51:14,39717.9,>Range,>Range,>Range
10/21/21 18:51:15,39647.9,>Range,>Range,>Range
10/21/21 18:51:16,39571,>Range,>Range,>Range
10/21/21 18:51:17,39504.8,>Range,>Range,>Range
10/21/21 18:51:18,39490.1,>Range,>Range,>Range
10/21/21 18:51:19,39454.3,>Range,>Range,>Range
10/21/21 18:51:20,39432.6,>Range,>Range,>Range
10/21/21 18:51:21,39479.7,>Range,>Range,>Range
10/21/21 18:51:22,39450.1,>Range,>Range,>Range
10/21/21 18:51:23,39463.6,>Range,>Range,>Range
10/21/21 18:51:24,39518.3,>Range,>Range,>Range
10/21/21 18:51:25,39687.9,>Range,>Range,>Range
10/21/21 18:51:26,39762.7,>Range,>Range,>Range
10/21/21 18:51:27,39800.7,>Range,>Range,>Range
10/21/21 18:51:28,39769.2,>Range,>Range,>Range
10/21/21 18:51:29,39711.1,>Range,>Range,>Range
10/21/21 18:51:30,39764.3,>Range,>Range,>Range
10/21/21 18:51:31,39829.3,>Range,>Range,>Range
10/21/21 18:51:32,39800.4,>Range,>Range,>Range
10/21/21 18:51:33,39856,>Range,>Range,>Range
10/21/21 18:51:34,39849.5,>Range,>Range,>Range
10/21/21 18:51:35,39786.7,>Range,>Range,>Range
10/21/21 18:51:36,39698.7,>Range,>Range,>Range
10/21/21 18:51:37,39605.2,>Range,>Range,>Range
10/21/21 18:51:38,39591.5,>Range,>Range,>Range
10/21/21 18:51:39,39557.3,>Range,>Range,>Range
10/21/21 18:51:40,39480.4,>Range,>Range,>Range
10/21/21 18:51:41,39370.2,>Range,>Range,>Range
10/21/21 18:51:42,39368.2,>Range,>Range,>Range
10/21/21 18:51:43,39271.5,>Range,>Range,>Range
10/21/21 18:51:44,39266.3,>Range,>Range,>Range
10/21/21 18:51:45,39395.5,>Range,>Range,>Range
10/21/21 18:51:46,39503.1,>Range,>Range,>Range
10/21/21 18:51:47,39675,>Range,>Range,>Range
10/21/21 18:51:48,39748.3,>Range,>Range,>Range
10/21/21 18:51:49,39666.4,>Range,>Range,>Range
